"parent_itemcode","sequence","itemcode","description","uom","qty"
"S.7                 ","0","S.8                 ","Bitumen 80-100 bulk                                                                                 ","fulqty    ","8967"
"S.34                ","0","S.8                 ","Bitumen 80-100 bulk                                                                                 ","loosqty   ","7000"
"S.34                ","0","S.161               ","Redicote E 4875 NPF                                                                                 ","loosqty   ","15000"
"S.34                ","0","S.18                ","CALZ                                                                                                ","loosqty   ","1000"
"S.120               ","0","S.8                 ","Bitumen 80-100 bulk                                                                                 ","loosqty   ","1"
"S.43                ","0","S.8                 ","Bitumen 80-100 bulk                                                                                 ","loosqty   ","1"
"S.7                 ","0","S.17                ","HCL                                                                                                 ","fulqty    ","24"
"S.7                 ","0","S.160               ","Redicote EM 44                                                                                      ","loosqty   ","32"
"S.7                 ","0","S.20164             ","Iodine salt                                                                                         ","fulqty    ","10"
"S.7                 ","0","S.105               ","STABIRAM                                                                                            ","fulqty    ","70"
"S.34                ","0","S.17                ","HCL                                                                                                 ","loosqty   ","2000"
"S.34                ","0","S.104               ","Tego Addibit DF                                                                                     ","loosqty   ","7000"
"S.154               ","0","S.96                ","Tego Addibit L 300                                                                                  ","loosqty   ","1000"
"S.95                ","0","S.94                ","Aluminium Paste                                                                                     ","loosqty   ","75000"
"S.95                ","0","S.35                ","Black Bituminous Paint  PF4                                                                         ","loosqty   ","30"
"S.34                ","0","S.13                ","Kerosene                                                                                            ","loosqty   ","1000"
"S.60183             ","0","S.99                ","A4-60(ANIONIC EMULSION)                                                                             ","loosqty   ","300"
"S.150               ","0","S.137               ","REDICOTE EM48                                                                                       ","loosqty   ","200"
"S.150               ","0","S.18                ","CALZ                                                                                                ","fulqty    ","50"
"S.150               ","0","S.17                ","HCL                                                                                                 ","fulqty    ","20"
"S.156               ","0","S.8                 ","Bitumen 80-100 bulk                                                                                 ","loosqty   ","10000"
"S.60166             ","0","S.99                ","A4-60(ANIONIC EMULSION)                                                                             ","loosqty   ","300"
"S.6                 ","0","S.8                 ","Bitumen 80-100 bulk                                                                                 ","fulqty    ","6000"
"S.6                 ","0","S.18                ","CALZ                                                                                                ","fulqty    ","1000"
"S.6                 ","0","S.17                ","HCL                                                                                                 ","fulqty    ","2000"
"S.6                 ","0","S.104               ","Tego Addibit DF                                                                                     ","fulqty    ","7000"
"S.6                 ","0","S.96                ","Tego Addibit L 300                                                                                  ","fulqty    ","3000"
"S.6                 ","0","S.13                ","Kerosene                                                                                            ","fulqty    ","5000"
"S.6                 ","0","S.160               ","Redicote EM 44                                                                                      ","loosqty   ","26"
