"Date","Documentno","Documenttype","Accountno","Grossamount","JournalNo","Dimension_One","Dimension_Two","Currency","Datewhenpaid"
"5/2/2012 12:00:00 AM","INV1                ","10","Dr395               ","823600","J.1009              ","          ","          ","KES","7/11/2012 12:00:00 AM"
"5/3/2012 12:00:00 AM","INV2                ","10","Dr395               ","1154200","J.1010              ","          ","          ","KES","7/11/2012 12:00:00 AM"
"5/7/2012 12:00:00 AM","INV3                ","10","Dr396               ","27500","J.1013              ","          ","          ","KES","5/7/2012 12:00:00 AM"
"5/7/2012 12:00:00 AM","RC1                 ","12","Dr396               ","-27500","J.1014              ","          ","          ","KES",""
"5/9/2012 12:00:00 AM","INV4                ","10","Dr367               ","361920","J.1015              ","          ","          ","KES","8/2/2012 12:00:00 AM"
"5/10/2012 12:00:00 AM","INV5                ","10","Dr400               ","1218928","J.1040              ","          ","          ","KES","6/11/2012 12:00:00 AM"
"5/2/2012 12:00:00 AM","RC11                ","12","Dr395               ","-1977800","J.1316              ","          ","          ","KES",""
"5/14/2012 12:00:00 AM","INV6                ","10","Dr367               ","468000","J.1044              ","          ","          ","KES","8/2/2012 12:00:00 AM"
"5/4/2012 12:00:00 AM","INV7                ","10","Dr403               ","2066074.38","J.1046              ","          ","          ","KES","11/8/2013 12:00:00 AM"
"5/15/2012 12:00:00 AM","INV8                ","10","Dr405               ","97440","J.1048              ","          ","          ","KES","6/15/2012 12:00:00 AM"
"5/17/2012 12:00:00 AM","INV9                ","10","Dr403               ","156000","J.1050              ","          ","          ","KES","11/8/2013 12:00:00 AM"
"5/18/2012 12:00:00 AM","INV10               ","10","Dr376               ","34960.56","J.1052              ","          ","          ","KES","5/31/2012 12:00:00 AM"
"5/19/2012 12:00:00 AM","INV11               ","10","Dr432               ","61700","J.1053              ","          ","          ","KES","5/22/2012 12:00:00 AM"
"5/10/2013 12:00:00 AM","Revs-INV720         ","10","Dr498               ","-815000","J.5997              ","          ","          ","KES",""
"5/19/2012 12:00:00 AM","INV13               ","10","Dr432               ","0","J.1055              ","          ","          ","KES",""
