"date","documenttype","documentno","narration","journalno","whtax","VendorID"
"9/30/2016 12:00:00 AM","23","11                  ","October security services","Jv500               ","","cr354               "
"9/30/2016 12:00:00 AM","23","11                  ","October security services","Jv501               ","","cr354               "
"9/30/2016 12:00:00 AM","23","14                  ","Correction of wrong entry","Jv625               ","","cr354               "
"10/25/2016 12:00:00 AM","23","15                  ","October security services","Jv626               ","","cr354               "
"10/31/2016 12:00:00 AM","23","16                  ","October motor vehicle fuel","Jv666               ","","cr473               "
"10/31/2016 12:00:00 AM","23","21                  ","October electricity bill","Jv674               ","","cr372               "
"10/6/2016 12:00:00 AM","23","22                  ","Transport charges to Intex and Equistar","Jv710               ","","cr583               "
"10/24/2016 12:00:00 AM","23","23                  ","Transport charges to S.S Mehta, Intex, Ascoda &amp; Equistar","Jv711               ","","cr583               "
"11/7/2016 12:00:00 AM","23","24                  ","Transport charges to Scoda and Ragot","Jv712               ","","cr583               "
"11/2/2016 12:00:00 AM","23","35                  ","Purchase of diesel 600L of diesel for heating bitumen","Jv987               ","","cr447               "
"12/6/2016 12:00:00 AM","23","36                  ","November motor vehicle fuel","Jv1004              ","","cr473               "
"12/13/2016 12:00:00 AM","23","37                  ","November Electricity bill","Jv1140              ","","cr372               "
"11/30/2016 12:00:00 AM","23","39                  ","November Water bill","Jv1141              ","","cr371               "
"11/23/2016 12:00:00 AM","23","41                  ","KCB 997V Insurance","Jv1286              ","","cr531               "
"11/23/2016 12:00:00 AM","23","42                  ","Chemicals clearance from redachem","Jv1287              ","","cr10594             "
"11/29/2016 12:00:00 AM","23","44                  ","Seals clearance charges","Jv1288              ","","cr10595             "
"12/31/2016 12:00:00 AM","23","46                  ","","Jv1363              ","","cr372               "
"12/29/2016 12:00:00 AM","23","48                  ","December security ","Jv1367              ","","cr354               "
"10/13/2016 12:00:00 AM","23","50                  ","purchase of 150drums of bitumen 80/100","Jv1370              ","","cr590               "
"12/31/2016 12:00:00 AM","23","51                  ","December motor vehicle fuel","Jv1379              ","","cr473               "
"10/14/2016 12:00:00 AM","23","52                  ","Drum capseals","Jv1384              ","","cr567               "
"11/7/2016 12:00:00 AM","23","54                  ","Transport of product to Intex, Loruk","Jv1490              ","","cr583               "
"12/31/2016 12:00:00 AM","23","55                  ","December water bill","Jv1520              ","","cr371               "
"10/30/2016 12:00:00 AM","23","57                  ","October consultancy","Jv1694              ","","cr369               "
"11/30/2016 12:00:00 AM","23","58                  ","November consultancy","Jv1695              ","","cr369               "
"12/30/2016 12:00:00 AM","23","59                  ","December consultancy","Jv1696              ","","cr369               "
"12/19/2016 12:00:00 AM","23","63                  ","December formugation","Jv1767              ","","cr380               "
"1/9/2017 12:00:00 AM","23","64                  ","December sanitary","Jv1768              ","","cr380               "
"11/29/2016 12:00:00 AM","23","65                  ","Ubiquiti 24vdc poe injector","Jv1771              ","","cr348               "
"1/27/2017 12:00:00 AM","23","66                  ","Transport of kerosine ","Jv1812              ","","cr379               "
"1/27/2017 12:00:00 AM","23","67                  ","Transport charges to Machakos Invoice no. 109","Jv1813              ","","cr583               "
"1/18/2017 12:00:00 AM","23","69                  ","Transport charges to Machakos China Wuyi inv151","Jv1814              ","","cr583               "
"1/25/2017 12:00:00 AM","23","71                  ","Transport charges to Machakos China Wuyi inv161","Jv1815              ","","cr583               "
"1/23/2017 12:00:00 AM","23","                    ","Transport charges to China Henan Eldoret inv157","Jv1816              ","","cr583               "
"1/25/2017 12:00:00 AM","23","72                  ","Transport charges to China Henan Eldoret inv163 164","Jv1817              ","","cr583               "
"10/4/2016 12:00:00 AM","23","73                  ","Purchase of kerosine","Jv1860              ","","cr568               "
"1/27/2017 12:00:00 AM","23","74                  ","KCB 997V Insurance understatment value","Jv2009              ","","cr531               "
"1/25/2017 12:00:00 AM","23","75                  ","January security","Jv2033              ","","cr354               "
"1/31/2017 12:00:00 AM","23","77                  ","January water bill","Jv2036              ","","cr371               "
"1/25/2017 12:00:00 AM","23","78                  ","Digital platform weighing machine","Jv2039              ","","cr472               "
"2/13/2017 12:00:00 AM","23","79                  ","January Electricity bill","Jv2118              ","","cr372               "
"2/13/2017 12:00:00 AM","23","80                  ","Seals clearance charges(Duty,KEBS,shipping line charges","Jv2121              ","","cr10594             "
"1/31/2017 12:00:00 AM","23","82                  ","January 2017 Motor vehicle fuel","Jv2143              ","","cr473               "
"2/16/2017 12:00:00 AM","23","83                  ","260kg of rags","Jv2153              ","","cr498               "
"2/9/2017 12:00:00 AM","23","84                  ","Effluent discharge licence 2017","Jv2164              ","","cr371               "
"1/31/2017 12:00:00 AM","23","87                  ","January 2017 Consultancy","Jv2220              ","","cr369               "
"2/23/2017 12:00:00 AM","23","92                  ","P.V,GRN &amp; fuel stickers","Jv2305              ","","cr30599             "
"1/11/2017 12:00:00 AM","23","93                  ","PF4 A4&amp; PF4 stickers","Jv2306              ","","cr30599             "
"1/9/2017 12:00:00 AM","23","95                  ","Bal b/f","Jv2307              ","","cr30599             "
"2/20/2017 12:00:00 AM","23","96                  ","KBD 284U group and personal accident insurance","Jv2311              ","","cr531               "
"2/14/2017 12:00:00 AM","23","97                  ","KBC 496C Insurance","Jv2314              ","","cr531               "
"1/26/2017 12:00:00 AM","23","98                  ","purchase of 150drums of bitumen 80/100","Jv2330              ","","cr590               "
"2/25/2017 12:00:00 AM","23","99                  ","February security","Jv2374              ","","cr354               "
"7/15/2016 12:00:00 AM","23","100                 ","Purchase of drummed bitumen 239.530MT","Jv2380              ","","cr591               "
"2/17/2017 12:00:00 AM","23","101                 ","240mt clearance invoice","Jv2398              ","","cr30597             "
"10/25/2016 12:00:00 AM","23","104                 ","260mt drummed bitumen clearance","Jv2399              ","","cr30597             "
"10/20/2016 12:00:00 AM","23","105                 ","260mt drummed bitumen purchase","Jv2407              ","","cr591               "
"1/26/2017 12:00:00 AM","23","106                 ","Transport charges to Narumoro EADL","Jv2432              ","","cr583               "
"1/28/2017 12:00:00 AM","23","107                 ","Transport charges to Equistar and Rosaki,invoices 169,170","Jv2436              ","","cr583               "
"2/20/2017 12:00:00 AM","23","108                 ","Transport charges to S S mehta to deliver product Malindi","Jv2437              ","","cr583               "
"10/31/2016 12:00:00 AM","23","17                  ","October water bill","Jv667               ","","cr371               "
"10/26/2016 12:00:00 AM","23","25                  ","dishoured cheque charges","Jv720               ","","cr531               "
"4/26/2016 12:00:00 AM","23","26                  ","understatement of invoice RND00302","Jv721               ","","cr531               "
"10/14/2016 12:00:00 AM","23","27                  ","Purchase of Bulk bitumen 18540kgs","Jv754               ","","cr558               "
"11/25/2016 12:00:00 AM","23","29                  ","November security","Jv933               ","","cr354               "
"9/9/2016 12:00:00 AM","23","31                  ","August sanitary services","Jv934               ","","cr380               "
"10/12/2016 12:00:00 AM","23","32                  ","Sepetember sanitary bill","Jv935               ","","cr380               "
"11/29/2016 12:00:00 AM","23","33                  ","October formugation","Jv936               ","","cr380               "
"1/20/2017 12:00:00 AM","23","88                  ","January sanitation","Jv2300              ","","cr380               "
"2/23/2017 12:00:00 AM","23","109                 ","Transport charges to Narumoro EADL invoice 195","Jv2438              ","","cr583               "
"2/28/2017 12:00:00 AM","23","110                 ","February 2017 motor vehicle fuel","Jv2464              ","","cr473               "
"2/25/2017 12:00:00 AM","23","113                 ","February sanitary","Jv2616              ","","cr380               "
"2/8/2017 12:00:00 AM","23","115                 ","February sanitary","Jv2617              ","","cr380               "
"2/28/2017 12:00:00 AM","23","117                 ","February electricty bill","Jv2618              ","","cr372               "
"2/22/2017 12:00:00 AM","23","119                 ","cfs charges, COC, transport and agency fees","Jv2641              ","","cr10594             "
"11/16/2016 12:00:00 AM","23","121                 ","Airway bill for 6,000pairs of seal","Jv2685              ","","cr567               "
"2/28/2017 12:00:00 AM","23","122                 ","February water bill","Jv2787              ","","cr371               "
"2/28/2017 12:00:00 AM","23","124                 ","","Jv2907              ","","cr369               "
"2/24/2017 12:00:00 AM","23","125                 ","Transport charges to China AERO Meru","Jv2911              ","","cr583               "
"2/25/2017 12:00:00 AM","23","126                 ","Transport charges to China AERO Meru","Jv2912              ","","cr583               "
"2/18/2017 12:00:00 AM","23","128                 ","WIBA/GPA 2017","Jv2960              ","","cr531               "
"3/30/2017 12:00:00 AM","23","                    ","Burglary 2017","Jv2961              ","","cr531               "
"3/30/2017 12:00:00 AM","23","129                 ","Fire and Peril 2017","Jv2962              ","","cr531               "
"2/26/2017 12:00:00 AM","23","135                 ","February 2017 N.S.S.F","Jv3035              ","","cr514               "
"2/26/2017 12:00:00 AM","23","136                 ","N.H.I.F march 2017 payment","Jv3036              ","","cr515               "
"2/26/2017 12:00:00 AM","23","137                 ","P.A.Y.E march 2017 payment","Jv3037              ","","cr513               "
"10/30/2016 12:00:00 AM","23","138                 ","October 2016 NSSF","Jv3045              ","","cr514               "
"11/30/2016 12:00:00 AM","23","139                 ","November 2016 NSSF","Jv3046              ","","cr514               "
"12/30/2016 12:00:00 AM","23","140                 ","December 2016 NSSF","Jv3047              ","","cr514               "
"4/6/2017 12:00:00 AM","23","141                 ","January 2017 NSSF","Jv3048              ","","cr514               "
"1/30/2017 12:00:00 AM","23","142                 ","January 2017 NSSF","Jv3049              ","","cr514               "
"10/30/2016 12:00:00 AM","23","143                 ","October 2016 NHIF Payable","Jv3051              ","","cr515               "
"11/30/2016 12:00:00 AM","23","144                 ","November 2016 NHIF payable","Jv3054              ","","cr515               "
"12/30/2016 12:00:00 AM","23","145                 ","December NHIF payable","Jv3055              ","","cr515               "
"3/9/2017 12:00:00 AM","23","146                 ","installation of OS &amp; window activation","Jv3056              ","","cr40606             "
"1/30/2017 12:00:00 AM","23","147                 ","January 2017 NHIF ","Jv3057              ","","cr515               "
"2/6/2017 12:00:00 AM","23","148                 ","Jan 2017 PAYE","Jv3070              ","","cr513               "
"3/31/2017 12:00:00 AM","23","150                 ","March Consultancy","Jv3076              ","","cr369               "
"3/31/2017 12:00:00 AM","23","151                 ","March 2017 Motor vehicle fuel","Jv3079              ","","cr473               "
"3/31/2017 12:00:00 AM","23","152                 ","March 2017 Water bill","Jv3081              ","","cr371               "
"4/4/2017 12:00:00 AM","23","162                 ","fire equipments service","Jv3193              ","","cr512               "
"3/8/2017 12:00:00 AM","23","165                 ","Raincoat 7pcs","Jv3241              ","","cr40600             "
"3/28/2017 12:00:00 AM","23","191                 ","Purchase calcium chloride","Jv3599              ","","cr40610             "
"4/3/2017 12:00:00 AM","23","192                 ","15pcs of empty drums","Jv3630              ","","cr30600             "
"5/9/2017 12:00:00 AM","23","193                 ","","Jv3676              ","","cr447               "
"12/12/2016 12:00:00 AM","21","194                 ","Double invoicing correction","Jv3718              ","","cr591               "
"9/16/2016 12:00:00 AM","21","196                 ","wrong invoice date","Jv3721              ","","cr591               "
"1/5/2017 12:00:00 AM","23","197                 ","Purchase of bitumen 240mt ","Jv3722              ","","cr591               "
"4/30/2017 12:00:00 AM","23","198                 ","April 2017 Electricity bill","Jv3724              ","","cr372               "
"4/30/2017 12:00:00 AM","23","199                 ","April sanitary","Jv3736              ","","cr380               "
