"documenttype","documentno","journalno","account","vatamount","grossamount"
"23","11                  ","Jv500               ","13SE00287           ","9600.00","69600.00"
"23","11                  ","Jv501               ","13SE00287           ","9600.00","69600.00"
"23","14                  ","Jv625               ","13SE00287           ","-19200.00","-139200.00"
"23","15                  ","Jv626               ","13SE00287           ","9600.00","69600.00"
"23","16                  ","Jv666               ","13Fu00282           ","0.00","193415.63"
"23","21                  ","Jv674               ","13El00285           ","20631.33","147366.63"
"23","22                  ","Jv710               ","12TR00379           ","0.00","62000.00"
"23","23                  ","Jv711               ","15Mo00294           ","0.00","140000.00"
"23","24                  ","Jv712               ","12TR00379           ","0.00","55000.00"
"23","35                  ","Jv987               ","12Tr00134           ","0.00","46800.00"
"23","36                  ","Jv1004              ","13Fu00282           ","0.00","201654.00"
"23","37                  ","Jv1140              ","13El00285           ","15332.14","111158.00"
"23","39                  ","Jv1141              ","13Wa00300           ","0.00","21050.00"
"23","41                  ","Jv1286              ","13In00316           ","0.00","84102.00"
"23","42                  ","Jv1287              ","13Cl00301           ","0.00","722615.00"
"23","44                  ","Jv1288              ","13Cl00301           ","0.00","63046.00"
"23","46                  ","Jv1363              ","13El00285           ","13249.38","96058.00"
"23","48                  ","Jv1367              ","13SE00287           ","9600.00","69600.00"
"23","50                  ","Jv1370              ","12Tr00134           ","208810.07","1513873.00"
"23","51                  ","Jv1379              ","13Fu00282           ","0.00","210740.00"
"23","52                  ","Jv1384              ","13Pa00275           ","0.00","431800.00"
"23","54                  ","Jv1490              ","12TR00379           ","0.00","40000.00"
"23","55                  ","Jv1520              ","13Wa00300           ","0.00","25192.45"
"23","57                  ","Jv1694              ","13Au00299           ","0.00","25000.00"
"23","58                  ","Jv1695              ","13Au00299           ","0.00","25000.00"
"23","59                  ","Jv1696              ","13Au00299           ","0.00","25000.00"
"23","63                  ","Jv1767              ","13SA00312           ","3200.00","23200.00"
"23","64                  ","Jv1768              ","13SA00312           ","768.00","5568.00"
"23","65                  ","Jv1771              ","13Co00313           ","0.00","5858.00"
"23","66                  ","Jv1812              ","13CO00318           ","0.00","10000.00"
"23","67                  ","Jv1813              ","12TR00379           ","0.00","15000.00"
"23","69                  ","Jv1814              ","12TR00379           ","0.00","20000.00"
"23","71                  ","Jv1815              ","12TR00379           ","0.00","20000.00"
"23","                    ","Jv1816              ","12TR00379           ","0.00","40000.00"
"23","72                  ","Jv1817              ","12TR00379           ","0.00","80000.00"
"23","73                  ","Jv1860              ","12Tr00134           ","78400.00","568400.00"
"23","74                  ","Jv2009              ","13In00316           ","0.00","7800.00"
"23","75                  ","Jv2033              ","13SE00287           ","9600.00","69600.00"
"23","77                  ","Jv2036              ","13Wa00300           ","0.00","25035.90"
"23","78                  ","Jv2039              ","06La00320           ","0.00","50000.00"
"23","79                  ","Jv2118              ","13El00285           ","14066.39","101981.33"
"23","80                  ","Jv2121              ","13Cl00301           ","0.00","281759.00"
"23","82                  ","Jv2143              ","13Fu00282           ","0.00","213352.26"
"23","83                  ","Jv2153              ","13Cl00279           ","0.00","24890.00"
"23","87                  ","Jv2220              ","13Au00299           ","0.00","25000.00"
"23","92                  ","Jv2305              ","13St00277           ","0.00","7210.00"
"23","93                  ","Jv2306              ","13St00277           ","0.00","1030.00"
"23","95                  ","Jv2307              ","13St00277           ","0.00","12000.00"
"23","96                  ","Jv2311              ","13In00316           ","0.00","32084.00"
"23","97                  ","Jv2314              ","13In00316           ","0.00","84298.00"
"23","98                  ","Jv2330              ","12Tr00134           ","219600.00","1592100.00"
"23","17                  ","Jv667               ","13Wa00300           ","0.00","29898.40"
"23","25                  ","Jv720               ","13Ba00311           ","0.00","650.00"
"23","26                  ","Jv721               ","13In00316           ","0.00","7688.00"
"23","27                  ","Jv754               ","12Tr00134           ","153434.48","1112400.00"
"23","29                  ","Jv933               ","13SE00287           ","9600.00","69600.00"
"23","31                  ","Jv934               ","13SA00312           ","779.52","5568.00"
"23","32                  ","Jv935               ","13SA00312           ","779.52","5568.00"
"23","33                  ","Jv936               ","13SA00312           ","3200.00","23200.00"
"23","84                  ","Jv2164              ","13Li00314           ","0.00","10200.00"
"23","88                  ","Jv2300              ","13SA00312           ","768.00","5568.00"
"23","99                  ","Jv2374              ","13SE00287           ","9600.00","69600.00"
"23","100                 ","Jv2380              ","12Tr00134           ","0.00","67068.40"
"23","101                 ","Jv2398              ","15Mo00294           ","19680.00","149680.00"
"23","104                 ","Jv2399              ","13Cl00301           ","0.00","1240280.00"
"23","105                 ","Jv2407              ","12Tr00134           ","0.00","72965.20"
"23","106                 ","Jv2432              ","13CO00318           ","0.00","30000.00"
"23","107                 ","Jv2436              ","13CO00318           ","0.00","44000.00"
