"start_date","end_date","Name","newyear","closed","periodno"
"1/1/2012 12:00:00 AM","1/31/2012 12:00:00 AM","January","True","True","-55"
"2/1/2012 12:00:00 AM","2/29/2012 12:00:00 AM","February","False","True","-55"
"3/1/2012 12:00:00 AM","3/31/2012 12:00:00 AM","March","False","True","-55"
"4/1/2012 12:00:00 AM","4/30/2012 12:00:00 AM","April","False","True","-55"
"5/1/2012 12:00:00 AM","5/31/2012 12:00:00 AM","May","False","True","-55"
"6/1/2012 12:00:00 AM","6/30/2012 12:00:00 AM","June","False","True","-55"
"7/1/2012 12:00:00 AM","7/31/2012 12:00:00 AM","July","False","True","-55"
"8/1/2012 12:00:00 AM","8/31/2012 12:00:00 AM","August","False","True","-55"
"9/1/2012 12:00:00 AM","9/30/2012 12:00:00 AM","September","False","True","-55"
"10/1/2012 12:00:00 AM","10/31/2012 12:00:00 AM","October","False","True","-55"
"11/1/2012 12:00:00 AM","11/30/2012 12:00:00 AM","November","False","True","-55"
"12/1/2012 12:00:00 AM","12/31/2012 12:00:00 AM","December","False","True","-55"
"1/1/2013 12:00:00 AM","1/31/2013 12:00:00 AM","January","True","True","-43"
"2/1/2013 12:00:00 AM","2/28/2013 12:00:00 AM","February","False","True","-43"
"3/1/2013 12:00:00 AM","3/31/2013 12:00:00 AM","March","False","True","-43"
"4/1/2013 12:00:00 AM","4/30/2013 12:00:00 AM","April","False","True","-43"
"5/1/2013 12:00:00 AM","5/31/2013 12:00:00 AM","May","False","True","-43"
"6/1/2013 12:00:00 AM","6/30/2013 12:00:00 AM","June","False","True","-43"
"7/1/2013 12:00:00 AM","7/31/2013 12:00:00 AM","July","False","True","-43"
"8/1/2013 12:00:00 AM","8/31/2013 12:00:00 AM","August","False","True","-43"
"9/1/2013 12:00:00 AM","9/30/2013 12:00:00 AM","September","False","True","-43"
"10/1/2013 12:00:00 AM","10/31/2013 12:00:00 AM","October","False","True","-43"
"11/1/2013 12:00:00 AM","11/30/2013 12:00:00 AM","November","False","True","-43"
"12/1/2013 12:00:00 AM","12/31/2013 12:00:00 AM","December","False","True","-43"
"1/1/2014 12:00:00 AM","1/31/2014 12:00:00 AM","January","True","True","-31"
"2/1/2014 12:00:00 AM","2/28/2014 12:00:00 AM","February","False","True","-31"
"3/1/2014 12:00:00 AM","3/31/2014 12:00:00 AM","March","False","True","-31"
"4/1/2014 12:00:00 AM","4/30/2014 12:00:00 AM","April","False","True","-31"
"5/1/2014 12:00:00 AM","5/31/2014 12:00:00 AM","May","False","True","-31"
"6/1/2014 12:00:00 AM","6/30/2014 12:00:00 AM","June","False","True","-31"
"7/1/2014 12:00:00 AM","7/31/2014 12:00:00 AM","July","False","True","-31"
"8/1/2014 12:00:00 AM","8/31/2014 12:00:00 AM","August","False","True","-31"
"9/1/2014 12:00:00 AM","9/30/2014 12:00:00 AM","September","False","True","-31"
"10/1/2014 12:00:00 AM","10/31/2014 12:00:00 AM","October","False","True","-31"
"11/1/2014 12:00:00 AM","11/30/2014 12:00:00 AM","November","False","True","-31"
"12/1/2014 12:00:00 AM","12/31/2014 12:00:00 AM","December","False","True","-31"
"1/1/2015 12:00:00 AM","1/31/2015 12:00:00 AM","January","True","True","-19"
"2/1/2015 12:00:00 AM","2/28/2015 12:00:00 AM","February","False","True","-19"
"3/1/2015 12:00:00 AM","3/31/2015 12:00:00 AM","March","False","True","-19"
"4/1/2015 12:00:00 AM","4/30/2015 12:00:00 AM","April","False","True","-19"
"5/1/2015 12:00:00 AM","5/31/2015 12:00:00 AM","May","False","True","-19"
"6/1/2015 12:00:00 AM","6/30/2015 12:00:00 AM","June","False","True","-19"
"7/1/2015 12:00:00 AM","7/31/2015 12:00:00 AM","July","False","True","-19"
"8/1/2015 12:00:00 AM","8/31/2015 12:00:00 AM","August","False","True","-19"
"9/1/2015 12:00:00 AM","9/30/2015 12:00:00 AM","September","False","True","-19"
"10/1/2015 12:00:00 AM","10/31/2015 12:00:00 AM","October","False","True","-19"
"11/1/2015 12:00:00 AM","11/30/2015 12:00:00 AM","November","False","True","-19"
"12/1/2015 12:00:00 AM","12/31/2015 12:00:00 AM","December","False","True","-19"
"1/1/2016 12:00:00 AM","1/31/2016 12:00:00 AM","January","True","True","-7"
"2/1/2016 12:00:00 AM","2/29/2016 12:00:00 AM","February","False","True","-7"
"3/1/2016 12:00:00 AM","3/31/2016 12:00:00 AM","March","False","True","-7"
"4/1/2016 12:00:00 AM","4/30/2016 12:00:00 AM","April","False","True","-7"
"5/1/2016 12:00:00 AM","5/31/2016 12:00:00 AM","May","False","True","-7"
"6/1/2016 12:00:00 AM","6/30/2016 12:00:00 AM","June","False","True","-7"
"7/1/2016 12:00:00 AM","7/31/2016 12:00:00 AM","July","False","True","-7"
"8/1/2016 12:00:00 AM","8/31/2016 12:00:00 AM","August","False","True","-7"
"9/1/2016 12:00:00 AM","9/30/2016 12:00:00 AM","September","False","True","-7"
"10/1/2016 12:00:00 AM","10/31/2016 12:00:00 AM","October","False","True","-7"
"11/1/2016 12:00:00 AM","11/30/2016 12:00:00 AM","November","False","True","-7"
"12/1/2016 12:00:00 AM","12/31/2016 12:00:00 AM","December","False","True","-7"
"1/1/2017 12:00:00 AM","1/31/2017 12:00:00 AM","January","True","True","5"
"2/1/2017 12:00:00 AM","2/28/2017 12:00:00 AM","February","False","True","5"
"3/1/2017 12:00:00 AM","3/31/2017 12:00:00 AM","March","False","True","5"
"4/1/2017 12:00:00 AM","4/30/2017 12:00:00 AM","April","False","True","5"
"5/1/2017 12:00:00 AM","5/31/2017 12:00:00 AM","May","False","True","5"
"6/1/2017 12:00:00 AM","6/30/2017 12:00:00 AM","June","False","True","5"
"7/1/2017 12:00:00 AM","7/31/2017 12:00:00 AM","July","False","True","5"
"8/1/2017 12:00:00 AM","8/31/2017 12:00:00 AM","August","False","True","5"
"9/1/2017 12:00:00 AM","9/30/2017 12:00:00 AM","September","False","True","5"
"10/1/2017 12:00:00 AM","10/31/2017 12:00:00 AM","October","False","True","5"
"11/1/2017 12:00:00 AM","11/30/2017 12:00:00 AM","November","False","True","5"
"12/1/2017 12:00:00 AM","12/31/2017 12:00:00 AM","December","False","True","5"
"1/1/2018 12:00:00 AM","1/31/2018 12:00:00 AM","January","True","True","17"
"2/1/2018 12:00:00 AM","2/28/2018 12:00:00 AM","February","False","True","17"
"3/1/2018 12:00:00 AM","3/31/2018 12:00:00 AM","March","False","True","17"
"4/1/2018 12:00:00 AM","4/30/2018 12:00:00 AM","April","False","True","17"
"5/1/2018 12:00:00 AM","5/31/2018 12:00:00 AM","May","False","True","17"
"6/1/2018 12:00:00 AM","6/30/2018 12:00:00 AM","June","False","True","17"
"7/1/2018 12:00:00 AM","7/31/2018 12:00:00 AM","July","False","True","17"
"8/1/2018 12:00:00 AM","8/31/2018 12:00:00 AM","August","False","True","17"
"9/1/2018 12:00:00 AM","9/30/2018 12:00:00 AM","September","False","True","17"
"10/1/2018 12:00:00 AM","10/31/2018 12:00:00 AM","October","False","True","17"
