"Docdate","JournalNo","Account","BalAccount","transtype","itemcode","amount","Currency","Dimension_1","Dimension_2","narration"
"10/26/2016 12:00:00 AM","60                  ","01Eq00269           ","                    ","bank      ","01Pe00139           ","-300631","KES","          ","          ","Correction of wrong entry"
"10/29/2016 12:00:00 AM","65                  ","13Tr00280           ","13Ad00272           ","bank      ","01Eq00269           ","48500","KES","          ","          ","CSR Sitini/Airfare to big five frica confrence"
"10/29/2016 12:00:00 AM","65                  ","13Co00345           ","13Ad00272           ","bank      ","01Eq00269           ","35000","KES","          ","          ","CSR Sitini/Airfare to big five frica confrence"
"10/11/2016 12:00:00 AM","70                  ","03Va00121           ","13Ad00272           ","debtors   ","Dr471               ","34087.13","KES","          ","          ","James finlays Vat withheld"
"11/10/2016 12:00:00 AM","72                  ","03Va00121           ","13Ad00272           ","debtors   ","Dr471               ","22500","KES","          ","          ","James finlays Vat withheld"
"11/24/2016 12:00:00 AM","76                  ","13Sa00292           ","13Ad00272           ","bank      ","01Eq00269           ","139500","KES","          ","          ","James finlays commision"
"1/19/2016 12:00:00 AM","84                  ","14Sc00286           ","13Ad00272           ","debtors   ","Dr567               ","-322350","KES","          ","          ","scrap metallic drum to Muhoro"
"8/13/2016 12:00:00 AM","86                  ","11In00124           ","13Ad00272           ","debtors   ","Dr567               ","-637000","KES","          ","          ","50drums of bitumen 80/100. delivery no.2037"
"12/7/2016 12:00:00 AM","90                  ","11In00124           ","13Ad00272           ","debtors   ","Dr567               ","1744760","KES","          ","          ","balancing off Muhoro account"
"12/7/2016 12:00:00 AM","90                  ","12Tr00134           ","13Ad00272           ","creditors ","cr462               ","-1744760.35","KES","          ","          ","balancing off Muhoro account"
"1/19/2016 12:00:00 AM","92                  ","14Sc00286           ","13Ad00272           ","debtors   ","Dr567               ","24619.91","KES","          ","          ","scrap invoiced twice"
"11/23/2016 12:00:00 AM","99                  ","03Va00121           ","13Ad00272           ","debtors   ","Dr471               ","27300","KES","          ","          ","Vat Withheld inv76"
"11/23/2016 12:00:00 AM","100                 ","03Va00121           ","13Ad00272           ","debtors   ","Dr471               ","8642.85","KES","          ","          ","Vat Withheld inv80"
"11/23/2016 12:00:00 AM","101                 ","03Va00121           ","13Ad00272           ","debtors   ","Dr471               ","34085.7","KES","          ","          ","Vat Withheld inv89"
"1/6/2017 12:00:00 AM","105                 ","03Va00121           ","13Ad00272           ","debtors   ","Dr471               ","24000","KES","          ","          ","Vat Withheld inv124"
"1/6/2017 12:00:00 AM","106                 ","03Va00121           ","13Ad00272           ","debtors   ","Dr471               ","696","KES","          ","          ","Vat Withheld inv125"
