"itemcode","ParameterID","Parameter","Limits_min","Limits_max","Method","Units","vital","category","NoStandardlimit"
"S.6                 ","2","Residue on 710&micro;m KS  sieve","","0.05","","","","","False"
"S.6                 ","3","Residue on 150&micro;m KS  sieve (g per 100ml) max
","","","","","","","False"
"S.6                 ","4","Binder content(%m/m)min","57","60","","","","","False"
"S.6                 ","5","Viscosity (degrees Engler)(ËšE)at 20ËšC","6","9","","","","","False"
"S.6                 ","6","Coagulation at low Temp.","Nil","","","","","","False"
"S.6                 ","7","Particle Charge","Positive","","","","","","False"
"S.7                 ","8","Residue on 710&micro;m KS sieve","","0.05","","","","","False"
"S.7                 ","9","Residue on 150&micro;m KS sieve (g per 100ml) max","","","","","","","False"
"S.7                 ","10","Stability to mixing with cement(%coagulation)","","","","","","","False"
"S.7                 ","11","Binder content(%m/m)min","68","70","","","","","False"
"S.7                 ","12","Viscosity (degrees Engler)(ËšE)at 85ËšC","25","35","","","","","False"
"S.7                 ","13","Coagulation at low Temp.","Nil","","","","","","False"
"S.7                 ","14","Particle Charge","Positive","","","","","","False"
"S.9                 ","15","KINEMATIC VISCOSITY","30","60","","","","","False"
"S.9                 ","16","FLASHPOINT(tag open cup) &reg;C","38","","","","","","False"
"S.9                 ","17","DENSITY(Specific gravity)","","","","","","","False"
"S.9                 ","18","DISTILLATE TO 225&reg;C","0","25","","","","","False"
"S.9                 ","19","DISTILLATE TO 260&reg;C","40","70","","","","","False"
"S.9                 ","20","DISTILLATE TO 260&reg;C","40","70","","","","","False"
"S.9                 ","21","DISTILLATE TO 316&reg;C","75","93","","","","","False"
"S.9                 ","22","RESIDUE FROM DISTILLATION TO 360&reg;C %VOL","50","","","","","","False"
"S.9                 ","23","PENETRATION ON RESIDUE FROM DISTILLATION AT 25&reg;C 100g 5s 0.1mm","120","300","","","","","False"
"S.9                 ","24","WATER CONTENT %","","0.2","","","","","False"
"S.9                 ","25","DUCTILITY AT 25&reg;C cm","","","","","","","False"
"S.9                 ","26","SOLUBILITY IN TRICHROROETHYLENE % BY MASS","99","","","","","","False"
"S.150               ","27","Residue on sieve 710 um ks sieve","0.03","0.05","","","","","False"
"S.150               ","28","Binder Content","56","65","","","","","False"
"S.150               ","29","Viscosity(Deg Engler) at 25.c","7","10","","","","","False"
"S.150               ","30","Coagulation at Low Temp","Nil","","","","","","False"
"S.150               ","31","Storage stability(Long period)","","60","","","","","False"
"S.150               ","32","Storage Stability(Long period) test % water content difference","","2","","","","","False"
"S.150               ","33","Particle charge test","","Positive","","","","","False"
"S.10                ","34","KINEMATIC VISCOSITY","70","140","","","","","False"
"S.10                ","35","FLASHPOINT(tag open cup) &reg;C","38","","","","","","False"
"S.10                ","36","DENSITY(Specific gravity)","","","","","","","False"
"S.10                ","37","DISTILLATE TO 225&reg;C","0","20","","","","","False"
