"company","postcode","city","country","Physical_Address","PIN_VAT","phone","email","salesman","Contact_Name","Contact_Designation","Contact_Telephone","Contact_email","Alt_Contact_Name","Alt_Contact_Designation","Alt_Contact_Telephone","Alt_Contact_email","createdby","Date_Created","Last_Activity","pkey"
"OCEAN HARDWARE","","                    ","                    ","&lt;br&gt;","1","               ","","Sr7       ","","","0731302800     ","","","","               ","","Rose                ","4/13/2022 3:46:47 PM","4/13/2022 3:46:47 PM","6"
"SANDMA HARDWARE","","                    ","                    ","&lt;br&gt;","1","               ","","Sr7       ","","","0724720717     ","","","","               ","","Rose                ","4/13/2022 4:40:17 PM","4/13/2022 4:40:17 PM","7"
"DAYKIO HARDWARE","","                    ","Kenya               ","&lt;br&gt;","1","0722605439     ","","Sr7       ","","","               ","","","","               ","","Rose                ","4/13/2022 5:05:15 PM","4/13/2022 5:05:15 PM","8"
"Quality Hardware ","","                    ","Kenya               ","Kitengela","0","0724559264     ","","Sr7       ","","","               ","","","","               ","","Rose                ","4/21/2022 2:04:58 PM","4/21/2022 2:04:58 PM","9"
"Mata Hardware","","                    ","Kenya               ","Kitengela","0","0722900692     ","","Sr7       ","","","               ","","","","               ","","Rose                ","4/21/2022 2:06:52 PM","4/21/2022 2:06:52 PM","10"
"Floken Hardware","","                    ","Kenya               ","Kitengela","0","0725916690     ","","Sr7       ","","","               ","","","","               ","","Rose                ","4/21/2022 2:11:29 PM","4/21/2022 2:11:29 PM","11"
"Mjengo Rafiki Hardware","","                    ","Kenya               ","Kitengela","0","0724502673     ","","Sr7       ","","","               ","","","","               ","","Rose                ","4/21/2022 2:13:15 PM","4/21/2022 2:13:15 PM","12"
"G Hardware","","                    ","Kenya               ","Naivasha","0","0727538607     ","","Sr7       ","","","               ","","","","               ","","Rose                ","4/21/2022 2:35:16 PM","4/21/2022 2:35:16 PM","13"
"Wakafa Hardware","","                    ","Kenya               ","Naivasha","0","0725804148     ","","Sr7       ","","","               ","","","","               ","","Rose                ","4/21/2022 2:37:08 PM","4/21/2022 2:37:08 PM","14"
"Majem Hardware ","","                    ","Kenya               ","Naivasha","0","0728422908     ","","Sr7       ","","","               ","","","","               ","","Rose                ","4/21/2022 2:38:45 PM","4/21/2022 2:38:45 PM","15"
"Yako Stage Hardware","","                    ","Kenya               ","Naivasha","0","0722813174     ","","Sr7       ","","","               ","","","","               ","","Rose                ","4/21/2022 2:40:37 PM","4/21/2022 2:40:37 PM","16"
"Malewa Hardware","","                    ","Kenya               ","Naivasha","0","0771027914     ","","Sr7       ","","","               ","","","","               ","","Rose                ","4/21/2022 2:41:41 PM","4/21/2022 2:41:41 PM","17"
"Allison &amp; Sons","","                    ","Kenya               ","Naivasha","0","0721817583     ","","Sr7       ","","","               ","","","","               ","","Rose                ","4/21/2022 2:43:19 PM","4/21/2022 2:43:19 PM","18"
"Naivasha Glazers Hardware","","                    ","Kenya               ","Naivasha","0","0715749231     ","","Sr7       ","","","               ","","","","               ","","Rose                ","4/21/2022 2:44:56 PM","4/21/2022 2:44:56 PM","19"
"Sterebs Gen Merchant","","                    ","Kenya               ","Naivasha","0","0723954712     ","","Sr7       ","","","               ","","","","               ","","Rose                ","4/21/2022 2:46:29 PM","4/21/2022 2:46:29 PM","20"
"Kwirera Hardware","","                    ","Kenya               ","Naivasha","0","0721219938     ","","Sr7       ","","","               ","","","","               ","","Rose                ","4/21/2022 2:48:34 PM","4/21/2022 2:48:34 PM","21"
"Dominion Paints","","                    ","Kenya               ","Naivasha","0","0711767700     ","","Sr7       ","","","               ","","","","               ","","Rose                ","4/21/2022 2:51:00 PM","4/21/2022 2:51:00 PM","22"
"Mwanjo Paints","","                    ","Kenya               ","Naivasha","0","0723706452     ","","Sr7       ","","","               ","","","","               ","","Rose                ","4/21/2022 2:52:08 PM","4/21/2022 2:52:08 PM","23"
"Bensum Hardware","","                    ","Kenya               ","Naivasha","0","0720232727     ","","Sr7       ","","","               ","","","","               ","","Rose                ","4/21/2022 2:53:16 PM","4/21/2022 2:53:16 PM","24"
"Equitor Hardware","","                    ","Kenya               ","Naivasha","0","0721702090     ","","Sr7       ","","","               ","","","","               ","","Rose                ","4/21/2022 2:56:29 PM","4/21/2022 2:56:29 PM","25"
"QUEENSLANE HARDWARE","","NAIROBI             ","Kenya               ","&nbsp;GITHURAI 45","1","0721599315     ","","Sr7       ","","","               ","","","","               ","","Rose                ","5/5/2022 2:50:13 PM","5/5/2022 2:51:25 PM","26"
"ACCURATE GEN HARDWARE","","NAIROBI             ","Kenya               ","GITHURAI 45","0","0743295808     ","","Sr7       ","","","               ","","","","               ","","Rose                ","5/5/2022 2:56:14 PM","5/5/2022 2:56:14 PM","27"
"Foreman Gatune","","NAIROBI             ","Kenya               ","KIMBO","0","0720134936     ","","Sr7       ","","","               ","","","","               ","","Rose                ","5/5/2022 4:30:27 PM","5/5/2022 4:30:27 PM","28"
"MONROSS HARDWARE","","NAIROBI             ","Kenya               ","RUIRU","0","0720250365     ","","Sr7       ","","","               ","","","","               ","","Rose                ","5/6/2022 2:10:23 PM","5/6/2022 2:10:23 PM","29"
"SETON HARDWARE","","NAIROBI             ","Kenya               ","RUIRU","0","0726852818     ","","Sr7       ","","","               ","","","","               ","","Rose                ","5/6/2022 2:14:57 PM","5/6/2022 2:14:57 PM","30"
