"itemcode","date","invoiceno","journalno","doctype","receiptno","amount","receiptjournal"
"cr346               ","5/31/2012 12:00:00 AM","                    ","J.1982              ","0","                    ","44500.00","J.1259              "
"cr346               ","5/31/2012 12:00:00 AM","                    ","J.1982              ","0","42                  ","500000.00","J.1438              "
"cr381               ","5/31/2012 12:00:00 AM","                    ","J.1982              ","0","                    ","44500.00","J.1259              "
"cr347               ","5/31/2012 12:00:00 AM","                    ","J.1982              ","0","                    ","44500.00","J.1259              "
"cr353               ","5/31/2012 12:00:00 AM","                    ","J.1982              ","0","                    ","44500.00","J.1259              "
"cr346               ","5/31/2012 12:00:00 AM","                    ","J.1982              ","0","                    ","150000.00","J.1246              "
"cr381               ","5/31/2012 12:00:00 AM","                    ","J.1982              ","0","                    ","150000.00","J.1246              "
"cr347               ","5/31/2012 12:00:00 AM","                    ","J.1982              ","0","                    ","150000.00","J.1246              "
"cr353               ","5/31/2012 12:00:00 AM","                    ","J.1982              ","0","                    ","150000.00","J.1246              "
"cr346               ","3/8/2017 12:00:00 AM","440                 ","Jv3110              ","0","313                 ","455000.00","Jv2637              "
"cr590               ","3/8/2017 12:00:00 AM","440                 ","Jv3110              ","0","313                 ","455000.00","Jv2637              "
"cr346               ","5/31/2012 12:00:00 AM","                    ","J.1982              ","0","51                  ","88300.00","J.1445              "
"cr381               ","5/31/2012 12:00:00 AM","                    ","J.1982              ","0","42                  ","500000.00","J.1438              "
"cr381               ","5/31/2012 12:00:00 AM","                    ","J.1982              ","0","51                  ","88300.00","J.1445              "
"cr347               ","5/31/2012 12:00:00 AM","                    ","J.1982              ","0","51                  ","88300.00","J.1445              "
"cr353               ","5/31/2012 12:00:00 AM","                    ","J.1982              ","0","51                  ","88300.00","J.1445              "
"cr347               ","8/2/2012 12:00:00 AM","97                  ","J.3361              ","20","51                  ","2000.00","J.1445              "
"cr347               ","8/10/2012 12:00:00 AM","106                 ","J.3363              ","20","51                  ","72500.00","J.1445              "
"cr347               ","8/10/2012 12:00:00 AM","106                 ","J.3363              ","20","61                  ","43000.00","J.1462              "
"cr347               ","8/13/2012 12:00:00 AM","112                 ","J.3354              ","20","61                  ","77000.00","J.1462              "
