"customerCode","stockcode","approved","approvedby","DateTime","units_code","quantity","price","id","container"
"","S.6","True","","","u 10","200","14000","66","S.15"
"","S.7","True","","","u 10","200","15000","67","S.15"
"Dr510981","S.103","True","Mary","4/14/2022 6:03:00 AM","u 9","20","5000","737",""
"","S.9","True","","","u 10","200","20600","68","S.15"
"","S.150","True","","","u 10","200","21000","69","S.15"
"","S.99","True","","","u 10","200","18000","70","S.15"
"","S.103","True","","","u 9","20","3707","71","S.90"
"Dr510713","S.150","True","Lucybriate","9/21/2021 11:57:00 AM","u 10","200","18103.45","278",""
"Dr510751","S.7","True","Lucybriate","4/25/2022 9:41:00 AM","u 10","200","16206.9","753",""
"","S.60166","True","","","u20","4","936","284","S.60207"
"Dr510815","S.103","True","Mary","3/31/2022 7:30:00 AM","u 9","20","4741.379","695",""
"Dr511039","S.103","True","Sarah","2/23/2023 9:42:00 AM","u 10","200","45400","1020",""
"Dr510771","S.60185","True","Lucybriate","2/22/2023 8:47:00 AM","u 9","20","1400","958",""
"Dr510752","S.7","True","Lucybriate","8/12/2021 5:29:00 AM","u 10","200","14000","181",""
"Dr510805","S.103","True","Rose","3/28/2022 2:12:00 PM","u20","4","948.2759","688",""
"Dr380","S.6","True","Rose","1/17/2022 9:04:00 AM","u 10","200","15344.83","548",""
"Dr628","S.9","True","Mary","6/23/2021 8:06:00 AM","u 10","200","17241.38","38",""
"Dr425","S.6","True","Rose","10/30/2021 7:39:00 AM","u 10","200","15086.21","410",""
"Dr510712","S.99","True","Mary","6/22/2021 8:39:00 AM","u 10","200","16810","34",""
"","S.103","True","","","u20","4","1500","73","S.93"
"Dr510850","S.103","True","Lucybriate","6/23/2021 7:35:00 AM","u20","4","1551.724","37",""
"","S.35","True","","","u20","4","1200","74","S.93"
"Dr510827","S.103","True","Lucybriate","6/23/2021 9:07:00 AM","u 9","20","3275.862","41",""
"Dr510827","S.35","True","Lucybriate","6/23/2021 9:07:00 AM","u20","4","1034.483","42",""
"Dr510773","S.103","True","Mugure","10/8/2021 9:48:00 AM","u 9","20","3879.31","352",""
"Dr510773","S.103","True","Mugure","10/8/2021 9:48:00 AM","u20","4","905.1724","353",""
"","S.60185","True","","","u 9","20","4741.379","205","S.90"
"Dr510762","S.35","True","Sarah","2/21/2023 11:49:00 AM","u 9","20","7000","942",""
