"Batchno","itemcode","qty","cost","volcorfactor","temperature"
"B/No51","S.95","180","","",""
"B/No51","S.94      ","75000","","",""
"B/No51","S.35      ","30","","",""
"B/No51","S.87      ","100","","",""
"B/No52","S.7","12000","","",""
"B/No52","S.8       ","9800","","",""
"B/No52","S.17      ","20000","","",""
"B/No52","S.105     ","0","","",""
"B/No52","S.104     ","70000","","",""
"B/No52","S.96      ","30000","","",""
"B/No52","S.125     ","0","","",""
"B/No52","S.18      ","10000","","",""
"B/No53","S.7","10000","","",""
"B/No53","S.8       ","7000","","",""
"B/No53","S.17      ","35000","","",""
"B/No53","S.105     ","4499","","",""
"B/No53","S.104     ","0","","",""
"B/No53","S.96      ","0","","",""
"B/No53","S.125     ","0","","",""
"B/No53","S.18      ","10000","","",""
"B/No55","S.7","18000","","",""
"B/No55","S.8       ","9400","","",""
"B/No55","S.17      ","20000","","",""
"B/No55","S.105     ","0","","",""
"B/No55","S.104     ","70000","","",""
"B/No55","S.96      ","30000","","",""
"B/No55","S.125     ","0","","",""
"B/No55","S.18      ","10000","","",""
"B/No56","S.9","9000","","",""
"B/No56","S.8       ","5600","","",""
"B/No56","S.13      ","3400","","",""
"B/No57","S.6","1200","","",""
"B/No57","S.8       ","9000","","",""
"B/No57","S.17      ","20000","","",""
"B/No57","S.152     ","5000","","",""
"B/No58","S.6","3000","","",""
"B/No58","S.8       ","9000","","",""
"B/No58","S.17      ","2000","","",""
"B/No58","S.152     ","5000","","",""
"B/No59","S.6","12200","","",""
"B/No59","S.8       ","8500","","",""
"B/No59","S.17      ","20000","","",""
"B/No59","S.152     ","5000","","",""
"B/No60","S.9","800","","",""
"B/No60","S.8       ","250","","",""
"B/No60","S.13      ","200","","",""
"B/No61","S.6","800","","",""
"B/No61","S.8       ","500","","",""
"B/No61","S.17      ","3000","","",""
"B/No61","S.152     ","3500","","",""
"B/No62","S.7","13600","","",""
"B/No62","S.8       ","9600","","",""
"B/No62","S.17      ","20000","","",""
"B/No62","S.105     ","0","","",""
"B/No62","S.104     ","70000","","",""
"B/No62","S.96      ","30000","","",""
"B/No62","S.125     ","1","","",""
"B/No62","S.18      ","10000","","",""
"B/No63","S.6","36200","","",""
"B/No63","S.8       ","30800","","",""
"B/No63","S.17      ","54000","","",""
"B/No63","S.105     ","1","","",""
"B/No63","S.125     ","1","","",""
"B/No63","S.104     ","50000","","",""
"B/No64","S.9","2000","","",""
"B/No64","S.8       ","1200","","",""
"B/No64","S.13      ","600","","",""
"B/No65","S.9","3200","","",""
"B/No65","S.8       ","1200","","",""
"B/No65","S.13      ","600","","",""
"B/No66","S.9","200","","",""
"B/No66","S.8       ","70","","",""
"B/No66","S.13      ","30","","",""
"B/No67","S.9","10400","","",""
"B/No67","S.8       ","6800","","",""
"B/No67","S.13      ","70","","",""
"B/No68","S.7","10000","","",""
"B/No68","S.8       ","7000","","",""
"B/No68","S.17      ","20000","","",""
"B/No68","S.105     ","0","","",""
"B/No68","S.104     ","70000","","",""
"B/No68","S.96      ","30000","","",""
"B/No68","S.125     ","0","","",""
"B/No68","S.18      ","10000","","",""
"B/No69","S.7","13000","","",""
"B/No69","S.8       ","10000","","",""
"B/No69","S.17      ","20000","","",""
"B/No69","S.105     ","0","","",""
"B/No69","S.104     ","70000","","",""
"B/No69","S.96      ","30000","","",""
"B/No69","S.125     ","0","","",""
"B/No69","S.18      ","10000","","",""
"B/No70","S.7","12600","","",""
"B/No70","S.8       ","8300","","",""
"B/No70","S.17      ","20000","","",""
"B/No70","S.105     ","0","","",""
"B/No70","S.104     ","70000","","",""
"B/No70","S.96      ","30000","","",""
"B/No70","S.125     ","0","","",""
"B/No70","S.18      ","10000","","",""
"B/No71","S.6","11000","","",""
"B/No71","S.8       ","7400","","",""
"B/No71","S.17      ","18000","","",""
"B/No71","S.105     ","1","","",""
"B/No71","S.125     ","1","","",""
"B/No71","S.104     ","50000","","",""
"B/No72","S.6","10500","","",""
"B/No72","S.8       ","7200","","",""
"B/No72","S.17      ","18000","","",""
"B/No72","S.105     ","0","","",""
"B/No72","S.125     ","0","","",""
"B/No72","S.104     ","50000","","",""
"B/No73","S.6","4000","","",""
"B/No73","S.8       ","9600","","",""
"B/No73","S.17      ","18000","","",""
"B/No73","S.105     ","0","","",""
"B/No73","S.125     ","0","","",""
"B/No73","S.104     ","50000","","",""
"B/No74","S.6","11000","","",""
"B/No74","S.8       ","9400","","",""
"B/No74","S.17      ","18000","","",""
"B/No74","S.105     ","0","","",""
"B/No74","S.125     ","0","","",""
"B/No74","S.104     ","50000","","",""
"B/No75","S.6","11500","","",""
"B/No75","S.8       ","8100","","",""
"B/No75","S.17      ","18000","","",""
"B/No75","S.105     ","0","","",""
