"documenttype","documentno","docdate","oderdate","duedate","postingdate","vendorcode","vendorname","yourreference","externaldocumentno","locationcode","paymentterms","postinggroup","currencycode","printed","released","status","userid","period","entryno","vatinclusive","Dimension_1","Dimension_2","freight"
"21","DN.17","10/16/2021 12:00:00 AM","","","10/21/2021 12:00:00 AM","cr190693","ASL PACKAGING LIMITED","DEL/INV NO 45540","PINV.1063","","","General             ","KES       ","0","0","2","admin               ","62","1012781","False","","",""
"21","DN.19","10/9/2021 12:00:00 AM","","","10/21/2021 12:00:00 AM","cr190661","SPECTA ENERGY LTD","GRN 2048","PINV.1059","","","General             ","KES       ","0","0","2","admin               ","62","1012785","False","","",""
"21","DN.21","10/5/2021 12:00:00 AM","","","10/27/2021 12:00:00 AM","cr190661","SPECTA ENERGY LTD","GRN.2036","PINV.1048","","","General             ","KES       ","0","0","2","admin               ","62","1012817","False","","",""
"21","DN.22","12/6/2021 12:00:00 AM","","","12/28/2021 12:00:00 AM","cr528","CORRUGATED SHEETS LIMITED","300058935","PINV.1134","","","General             ","KES       ","0","0","2","Rose                ","64","1013024","False","","",""
"21","DN.23","2/11/2022 12:00:00 AM","","","2/11/2022 12:00:00 AM","cr411","OILIBYA  COMPANY","INV 7746","PINV.1163","","","General             ","KES       ","0","0","2","Lucybriate          ","66","1013122","False","","",""
"21","DN.24","3/12/2022 12:00:00 AM","","","4/21/2022 12:00:00 AM","cr190730","GOODNIGHT","DLV 2254","PINV.1214","","","notvat              ","KES       ","0","0","2","Lucybriate          ","68","1013400","True","","",""
"21","DN.25","3/6/2023 12:00:00 AM","","","3/10/2023 12:00:00 AM","cr40608","IMCD KENYA LIMITED","INV 31526","INV-1410","","","General             ","KES       ","0","0","2","Sarah               ","79","1014022","False","","",""
"21","DN12","7/10/2020 12:00:00 AM","","","7/14/2020 12:00:00 AM","cr190633","COLAS EAST AFRICA LTD","INA65082","PINV556","","","General             ","KES       ","0","0","2","admin               ","47","1011167","True","","",""
"21","DN13","7/28/2020 12:00:00 AM","","","7/29/2020 12:00:00 AM","cr483","LYDIA NYAMBURA KARANJA","GRN.1456","PINV567","","","notvat              ","KES       ","0","0","2","Mugure              ","47","1011200","True","","",""
"21","DN14","9/19/2020 12:00:00 AM","","","10/8/2020 12:00:00 AM","cr476","ESTHER WANJIRU","GRN.1539","PINV643","","","General             ","KES       ","0","0","2","Mugure              ","50","1011535","True","","",""
"21","DN15","1/14/2021 12:00:00 AM","","","1/15/2021 12:00:00 AM","cr190635","BITUTECH LIMITED","GRN 1673","PINV766","","","General             ","KES       ","0","0","2","Mugure              ","53","1011822","False","","",""
"21","DN16","1/26/2021 12:00:00 AM","","","2/9/2021 12:00:00 AM","cr10593","Resolution general suppliers","GRN 1678","PINV775","","","General             ","KES       ","0","0","2","Mugure              ","54","1011893","False","","",""
"30","GRN 1417","11/6/2022 12:00:00 AM","","","","cr40608","IMCD KENYA LIMITED","","","          ","","General             ","KES       ","","","1","Lucybriate          ","75","1013784","False","E25       ","          ","0"
"30","GRN.1056","8/28/2021 12:00:00 AM","","","","cr180615","WESTLINE OIL STREAM SUPPLIERS","","","          ","","General             ","KES       ","","","1","Lucybriate          ","60","1012610","False","E25       ","          ","0"
"30","GRN.1057","9/9/2021 12:00:00 AM","","","","cr190687","TAKEZO  VENTURES LTD","","","          ","","01                  ","KES       ","","","1","Mugure              ","61","1012615","False","E25       ","          ","5000"
"30","GRN.1058","8/26/2021 12:00:00 AM","","","","cr190689","GICHUKI","","","          ","","01                  ","KES       ","","","1","Mugure              ","60","1012618","False","E25       ","          ","0"
"30","GRN.1059","9/11/2021 12:00:00 AM","","","","cr434","FRIENDSHIP CONTAINERS","","","          ","","General             ","KES       ","","","1","Mugure              ","61","1012621","False","E25       ","          ","0"
"30","GRN.1060","9/11/2021 12:00:00 AM","","","","cr190687","TAKEZO  VENTURES LTD","","","          ","","01                  ","KES       ","","","1","Mugure              ","61","1012624","False","E25       ","          ","5000"
"30","GRN.1061","9/11/2021 12:00:00 AM","","","","cr190689","GICHUKI","","","          ","","01                  ","KES       ","","","1","Mugure              ","61","1012627","False","E25       ","          ","1500"
"30","GRN.1062","9/10/2021 12:00:00 AM","","","","cr40608","IMCD KENYA LIMITED","","","          ","","General             ","KES       ","","","1","Mugure              ","61","1012630","False","E25       ","          ","0"
"30","GRN.1063","9/13/2021 12:00:00 AM","","","","cr563","GAS and GO PETROLEUM PRODUCTS","","","          ","","General             ","KES       ","","","1","Lucybriate          ","61","1012632","False","E25       ","          ","0"
"30","GRN.1064","9/14/2021 12:00:00 AM","","","","cr190674","CHEMICAL PARTNERS KENYA LTD","","","          ","","General             ","KES       ","","","1","Mugure              ","61","1012634","False","E25       ","          ","0"
"30","GRN.1065","9/6/2021 12:00:00 AM","","","","cr190676","FLORENCE NJOKI NDUNGU","","","          ","","01                  ","KES       ","","","1","Mugure              ","61","1012637","False","E25       ","          ","0"
"30","GRN.1066","9/15/2021 12:00:00 AM","","","","cr190676","FLORENCE NJOKI NDUNGU","","","          ","","01                  ","KES       ","","","1","Mugure              ","61","1012640","False","E25       ","          ","2000"
