"entryno","documenttype","docdate","documentno","locationcode","stocktype","code","description","unitofmeasure","Quantity","Quantity_toinvoice","Qunatity_delivered","UnitPrice","vatamount","invoiceamount","completed","printed","containerprice","containersunits","totalchargedcontainers","containercode","vatrate","inclusive","UOM","shipping","discount","PartPerUnit","QuantityToReceive","PriceToReceive","unitofreceivedIn","packzizegrn"
"1","18","10/28/2016 12:00:00 AM","LPO30","","","S.17                ","HCL                                               ","kgs       ","1000.00","","1000.00","34","5440.00","39440.00","True","","","","","","16.00","False","fulqty","","","1000","1000","34","kgs       ","1000"
"2","18","11/1/2016 12:00:00 AM","LPO31","","","S.24","183 kgs 60-70 Bitumen in Drums                    ","Drums     ","550.00","0.00","1100.00","98","8624.00","62524.00","True","","","","","","16.00","False","fulqty","","","183","550","98","Drums     ","183"
"3","18","11/1/2016 12:00:00 AM","LPO31","","","S.16","183.5 KG Drummed Bitumen 80/100                   ","Drums     ","880.00","0.00","1760.00","98","13798.40","100038.40","True","","","","","","16.00","False","fulqty","","","183.5","880","98","Drums     ","183.5"
"4","18","11/2/2016 12:00:00 AM","LPO32","","","S.15                ","Drum Empties                                      ","Units     ","135.00","","135.00","1050","22680.00","164430.00","True","","","","","","0.00","False","fulqty","","","1","135","1050","Units     ","1"
"14","18","11/28/2016 12:00:00 AM","LPO44","","","S.103               ","BITUSHIELD NO 5                                   ","bucket    ","400.00","","400.00","172.41","11034.48","79999.96","True","","","","","","16.00","False","loosqty","","","1","400","172.41","bucket    ","1"
"10025","18","10/5/2016 12:00:00 AM","LPO52","","","S.104               ","Tego Addibit DF                                   ","kgs       ","3000.00","","3000.00","253.5","0.00","760500.00","True","","","","","","16.00","True","fulqty","","","1000","3000","253.5","kgs       ","1000"
"10026","18","10/5/2016 12:00:00 AM","LPO52","","","S.96                ","Tego Addibit L 300                                ","kgs       ","1260.00","","1260.00","436.02","0.00","549385.20","True","","","","","","16.00","True","fulqty","","","1000","1260","436.02","kgs       ","1000"
"10027","18","10/5/2016 12:00:00 AM","LPO52","","","S.153               ","Optifoam DW 1                                     ","kgs       ","180.00","","180.00","354.9","0.00","63882.00","True","","","","","","16.00","True","fulqty","","","1000","180","354.9","kgs       ","1000"
"10028","18","10/5/2016 12:00:00 AM","LPO52","","","S.36                ","Transport Charges                                 ","Units     ","1.00","","1.00","177450","0.00","177450.00","True","","","","","","16.00","True","fulqty","","","1","1","177450","Units     ","1"
"10029","18","12/10/2016 12:00:00 AM","LPO54","","","S.46                ","SHELL METHYLATED TURPENTINE-SMT                   ","kgs       ","100.00","","100.00","129.31","2068.97","15000.00","True","","","","","","16.00","False","fulqty","","","1","100","129.31","kgs       ","1"
"10030","20","12/10/2016 12:00:00 AM","PINV23","          ","","S.46                ","SHELL METHYLATED TURPENTINE-SMT                   ","kgs       ","100.00","","","129.31","2068.97","15000.00","","","","","","","16.00","False","fulqty","","","1","100","129.31","kgs       ","1"
"10031","18","12/15/2016 12:00:00 AM","LPO55","","","S.13                ","Kerosene                                          ","litres    ","4000.00","","4000.00","48.28","30896.55","224000.00","True","","","","","","0.00","False","fulqty","","","1","4000","48.28","litres    ","1"
"10032","18","12/15/2016 12:00:00 AM","LPO55","","","S.113               ","Diesel                                            ","Drums     ","2000.00","","2000.00","68.97","22068.97","160000.00","True","","","","","","16.00","False","fulqty","","","1","2000","68.97","Drums     ","1"
"10033","18","12/8/2016 12:00:00 AM","LPO56","","","S.15                ","Drum Empties                                      ","Units     ","124.00","","124.00","862.07","17103.45","124000.00","True","","","","","","0.00","False","fulqty","","","1","124","862.07","Units     ","1"
"10034","20","12/8/2016 12:00:00 AM","PINV24","          ","","S.15                ","Drum Empties                                      ","Units     ","124.00","","","862.07","17103.47","124000.15","","","","","","","0.00","False","fulqty","","","1","124","862.07","Units     ","1"
"1013082","18","10/21/2021 12:00:00 AM","LPO1454","","","S.87","TURPENTINE                                        ","litres    ","140.00","","140.00","155.172414","3475.86","25200.00","True","","","","","0                   ","16.00","False","","","0","1","140","155.172414","litres    ","1"
"10036","18","12/6/2016 12:00:00 AM","LPO57","","","S.15                ","Drum Empties                                      ","Units     ","124.00","","124.00","862.07","17103.45","124000.00","True","","","","","","0.00","False","fulqty","","","1","124","862.07","Units     ","1"
"10037","18","12/8/2016 12:00:00 AM","LPO58","","","S.15                ","Drum Empties                                      ","Units     ","118.00","","118.00","862.07","16275.86","118000.00","True","","","","","","0.00","False","fulqty","","","1","118","862.07","Units     ","1"
"10038","18","12/7/2016 12:00:00 AM","LPO59","","","S.15                ","Drum Empties                                      ","Units     ","122.00","","122.00","862.07","16827.59","122000.00","True","","","","","","0.00","False","fulqty","","","1","122","862.07","Units     ","1"
"10039","20","10/28/2016 12:00:00 AM","PINV25","          ","","S.17                ","HCL                                               ","kgs       ","1000.00","","","34","5440.00","39440.00","","","","","","","16.00","False","fulqty","","","1000","1000","34","kgs       ","1000"
"10040","18","12/13/2016 12:00:00 AM","LPO60","","","S.15                ","Drum Empties                                      ","Units     ","120.00","","120.00","862.07","16551.72","120000.00","True","","","","","","0.00","False","fulqty","","","1","120","862.07","Units     ","1"
"10041","20","11/3/2016 12:00:00 AM","PINV26","          ","","S.15                ","Drum Empties                                      ","Units     ","116.00","","","1050","0.00","121800.00","","","","","","","0.00","False","fulqty","","","1","116","1050","Units     ","1"
"10043","20","12/6/2016 12:00:00 AM","PINV28","          ","","S.13                ","Kerosene                                          ","litres    ","4000.00","","","56","0.00","224000.00","","","","","","","0.00","False","fulqty","","","1","4000","56","litres    ","1"
"5","20","11/2/2016 12:00:00 AM","PINV19","          ","","S.15                ","Drum Empties                                      ","Units     ","135.00","","","1050","0.00","141750.00","","","","","","","0.00","False","fulqty","","","1","135","1050","Units     ","1"
"6","18","10/21/2016 12:00:00 AM","LPO33","","","S.15                ","Drum Empties                                      ","Units     ","100.00","","100.00","1050","0.00","105000.00","True","","","","","","0.00","False","fulqty","","","1","100","1050","Units     ","1"
"7","18","11/3/2016 12:00:00 AM","LPO34","","","S.15                ","Drum Empties                                      ","Units     ","96.00","","96.00","1050","0.00","100800.00","True","","","","","","0.00","False","fulqty","","","1","96","1050","Units     ","1"
"8","20","11/3/2016 12:00:00 AM","PINV20","          ","","S.15                ","Drum Empties                                      ","Units     ","96.00","","","1050","0.00","100800.00","","","","","","","0.00","False","fulqty","","","1","96","1050","Units     ","1"
"9","20","10/21/2016 12:00:00 AM","PINV21","          ","","S.15                ","Drum Empties                                      ","Units     ","100.00","","","1050","0.00","105000.00","","","","","","","0.00","False","fulqty","","","1","100","1050","Units     ","1"
"10","18","11/3/2016 12:00:00 AM","LPO35","","","S.15                ","Drum Empties                                      ","Units     ","99.00","","99.00","1100","0.00","108900.00","True","","","","","","0.00","False","fulqty","","","1","99","1100","Units     ","1"
"11","20","11/3/2016 12:00:00 AM","PINV22","          ","","S.15                ","Drum Empties                                      ","Units     ","99.00","","","1100","0.00","108900.00","","","","","","","0.00","False","fulqty","","","1","99","1100","Units     ","1"
"12","18","11/3/2016 12:00:00 AM","LPO36","","","S.15                ","Drum Empties                                      ","Units     ","116.00","","116.00","1050","0.00","121800.00","True","","","","","","0.00","False","fulqty","","","1","116","1050","Units     ","1"
"13","18","11/15/2016 12:00:00 AM","LPO43","","","S.13                ","Kerosene                                          ","litres    ","4000.00","","4000.00","56","0.00","224000.00","True","","","","","","0.00","False","fulqty","","","1","4000","56","litres    ","1"
"10042","20","11/28/2016 12:00:00 AM","PINV27","          ","","S.103               ","BITUSHIELD NO 5                                   ","bucket    ","400.00","","","172.41","11034.48","79999.96","","","","","","","16.00","False","loosqty","","","1","400","172.41","bucket    ","1"
"10044","20","12/6/2016 12:00:00 AM","PINV28","          ","","S.113               ","Diesel                                            ","Drums     ","2000.00","","","68.97","22068.96","159999.96","","","","","","","16.00","False","fulqty","","","1","2000","68.97","Drums     ","1"
