"itemcode","date","invoiceno","journalno","doctype","receiptno","amount","receiptjournal"
"Dr365               ","11/26/2013 12:00:00 AM","INV1105             ","J.8729              ","10","RC557               ","-69600.00","J.8434              "
"Dr366               ","4/30/2013 12:00:00 AM","                    ","J.1420              ","0","RC313               ","-900000.00","J.5933              "
"Dr375               ","4/30/2013 12:00:00 AM","                    ","J.1420              ","0","RC313               ","-900000.00","J.5933              "
"Dr377               ","4/30/2013 12:00:00 AM","                    ","J.1420              ","0","RC313               ","-900000.00","J.5933              "
"Dr366               ","5/2/2012 12:00:00 AM","                    ","J.1420              ","0","RC11                ","-1977800.00","J.1316              "
"Dr367               ","10/31/2012 12:00:00 AM","INV180              ","J.2414              ","10","RC137               ","-103704.00","J.3755              "
"Dr369               ","11/2/2012 12:00:00 AM","INV362              ","J.3732              ","10","RC138               ","-241280.00","J.3760              "
"Dr369               ","4/11/2014 12:00:00 AM","INV1013             ","J.8310              ","10","RC674               ","-21159.12","J.9250              "
"Dr369               ","5/22/2015 12:00:00 AM","INV1475             ","J.10900             ","10","RC1152              ","-14567.12","J.13697             "
"Dr369               ","9/19/2016 12:00:00 AM","INV1932             ","J.14565             ","10","Rct218              ","-12066.10","Jv4435              "
"Dr369               ","11/17/2017 12:00:00 AM","INV337              ","Jv4699              ","10","Rct303              ","-5247.30","Jv5873              "
"Dr369               ","8/10/2020 12:00:00 AM","INV1143             ","Jv18435             ","10","Rct934              ","-61247.30","Jv18788             "
"Dr369               ","7/16/2021 12:00:00 AM","INV1443             ","Jv22692             ","10","Rct1390             ","-33000.00","Jv26921             "
"Dr369               ","2/19/2022 12:00:00 AM","INV.1884            ","Jv28281             ","10","Rct1887             ","-26752.73","Jv33697             "
"Dr370               ","7/27/2012 12:00:00 AM","INV39               ","J.1312              ","10","RC56                ","-1000.00","J.2187              "
"Dr370               ","9/27/2018 12:00:00 AM","INV677              ","Jv9849              ","10","1852                ","-6051.58","Jv9853              "
"Dr371               ","3/31/2017 12:00:00 AM","INV160              ","Jv1727              ","10","Rct163              ","-15000.00","Jv3271              "
