"documenttype","documentno","docdate","oderdate","duedate","postingdate","customercode","customername","yourreference","externaldocumentno","locationcode","paymentterms","postinggroup","currencycode","salespersoncode","printed","released","status","userid","period","entryno","vatinclusive","QtyDiscount","journal","shipping","packagescharge","picture"
"32","4","2/1/2017 12:00:00 AM","","2/2/2017 12:00:00 AM","","Dr521","ABSAL AND SONS","","","          ","","General             ","KES       ","Sr1       ","","","1","Programmer          ","6","70155","False","","","","",""
"11","CN10","12/19/2016 12:00:00 AM","","12/20/2016 12:00:00 AM","1/17/2017 12:00:00 AM","Dr424","GULF ASPHALT","270916-02","INV123","","","General             ","KES       ","Sr1       ","0","0","1","Mary Njeri          ","5","50127","False","","","","",""
"11","CN101","1/14/2022 12:00:00 AM","","","1/14/2022 12:00:00 AM","Dr140670","Kansai Plascon Kenya Ltd","","INV.2167","","","General             ","KES       ","Sr1       ","0","0","1","Lucybriate          ","65","1574438","False","","","","",""
"11","CN102","2/8/2022 12:00:00 AM","","","2/8/2022 12:00:00 AM","Dr510722","KABUITO CONTRACTORS LTD","","INV.2190","","","General             ","KES       ","Sr1       ","0","0","1","Lucybriate          ","66","1574565","False","","","","",""
"11","CN103","2/11/2022 12:00:00 AM","","","2/11/2022 12:00:00 AM","Dr140670","Kansai Plascon Kenya Ltd","","INV.2223","","","General             ","KES       ","Sr1       ","0","0","1","Lucybriate          ","66","1574669","False","","","","",""
"11","CN104","2/17/2022 12:00:00 AM","","","2/17/2022 12:00:00 AM","Dr510688","CHINA WUYI ELDORET","","INV.2248","","","General             ","KES       ","Sr1       ","0","0","1","Lucybriate          ","66","1574689","False","","","","",""
"11","CN105","2/18/2022 12:00:00 AM","","","2/18/2022 12:00:00 AM","Dr510824","ONGATA WORKS LIMITED","","INV.2252","","","General             ","KES       ","Sr1       ","0","0","1","Lucybriate          ","66","1574712","False","","","","",""
"11","CN106","2/23/2022 12:00:00 AM","","","2/23/2022 12:00:00 AM","Dr510688","CHINA WUYI ELDORET","","INV.2267","","","General             ","KES       ","Sr1       ","0","0","1","Lucybriate          ","66","1574769","False","","","","",""
"11","CN107","2/24/2022 12:00:00 AM","","","2/24/2022 12:00:00 AM","Dr510778","WARUHIU CONSTRUCTION LTD","","INV.2288","","","General             ","KES       ","Sr1       ","0","0","1","Lucybriate          ","66","1574867","False","","","","",""
"11","CN108","2/26/2022 12:00:00 AM","","","2/26/2022 12:00:00 AM","Dr510751","KADI PETROLEUM EAST AFRICA CO.","","INV.2279","","","General             ","KES       ","Sr1       ","0","0","1","Lucybriate          ","66","1574874","False","","","","",""
"11","CN109","2/14/2022 12:00:00 AM","","","2/14/2022 12:00:00 AM","Dr510955","EAST AFRICA FOUNDRY","","INV.2234","","","General             ","KES       ","Sr7       ","0","0","1","Lucybriate          ","66","1574897","False","","","","",""
"11","CN11","4/4/2017 12:00:00 AM","","4/5/2017 12:00:00 AM","4/7/2017 12:00:00 AM","Dr650","CHINA WUYI CO.LTD(C99)MACHAKOS","2351","INV247","","","General             ","KES       ","Sr1       ","0","0","1","Mary Njeri          ","8","110288","False","","","","",""
"11","CN110","3/2/2022 12:00:00 AM","","","3/2/2022 12:00:00 AM","Dr510967","FF AND COOL","","INV.2298","","","General             ","KES       ","Sr7       ","0","0","1","Rose                ","67","1574922","False","","","","",""
"11","CN111","3/3/2022 12:00:00 AM","","","3/3/2022 12:00:00 AM","Dr510969","DAVID ENGINEERING JV","","INV.2302","","","General             ","KES       ","Sr1       ","0","0","1","Rose                ","67","1574940","False","","","","",""
"11","CN112","3/7/2022 12:00:00 AM","","","3/7/2022 12:00:00 AM","Dr510864","TRIPLE N CAPITAL VENTURE LTD","","INV.2312","","","General             ","KES       ","Sr5       ","0","0","1","Lucybriate          ","67","1574990","False","","","","",""
"11","CN113","3/25/2022 12:00:00 AM","","","3/25/2022 12:00:00 AM","Dr584","SAXON INVESTMENT LTD","DLV 3927","INV.2351","","","General             ","KES       ","Sr1       ","0","0","1","Lucybriate          ","67","1575166","False","","","","",""
"11","CN114","6/3/2022 12:00:00 AM","","","6/3/2022 12:00:00 AM","Dr510937","GALAXY PAINTS","LPO 30398","INV.2482","","","General             ","KES       ","Sr1       ","0","0","1","Lucybriate          ","70","1575752","False","","","","",""
"11","CN115","6/23/2022 12:00:00 AM","","","6/23/2022 12:00:00 AM","Dr471","JAMES FINLAY KENYA LIMITED -L1","LPO 0250252211349/7","INV.2490","","","General             ","KES       ","Sr1       ","0","0","1","Lucybriate          ","70","1575784","False","","","","",""
"11","CN116","6/24/2022 12:00:00 AM","","","6/24/2022 12:00:00 AM","Dr510758","TRANSLEE KENYA LIMITED","","INV.2494","","","General             ","KES       ","Sr1       ","0","0","1","Sarah               ","70","1575825","False","","","","",""
"11","CN117","7/5/2022 12:00:00 AM","","","7/5/2022 12:00:00 AM","Dr510771","NEW NILE IMPEX HANDWARE LTD","","INV.2516","","","no vat              ","KES       ","Sr1       ","0","0","1","Lucybriate          ","71","1575913","False","","","","",""
"11","CN118","7/7/2022 12:00:00 AM","","","7/7/2022 12:00:00 AM","Dr511010","JULIUS KAMONYE","","INV.2524","","","General             ","KES       ","Sr1       ","0","0","1","Lucybriate          ","71","1575959","False","","","","",""
