"entryno","documenttype","docdate","documentno","locationcode","stocktype","code","description","unitofmeasure","Quantity","Quantity_toinvoice","Qunatity_delivered","UnitPrice","vatamount","invoiceamount","completed","printed","containerprice","containersunits","totalchargedcontainers","containercode","vatrate","inclusive","UOM","shipping","PriceInPricelist","Increase","PartPerUnit","modified","Qunatity_replaced","packagescharge"
"2","1","10/21/2016 12:00:00 AM","SO107","","","S.6","K1-60 Emulsion (60% bidder content)               ","Drums     ","50.00","","50.00","12980.00","103840.00","752840.00","True","","0.00","50","0.00","S.15","16.00","False","fulqty","","","","200","","",""
"3","1","10/21/2016 12:00:00 AM","SO108","","","S.7","K1-70  Emulsion (70% bidder content)              ","Drums     ","20.00","","20.00","16000.00","51200.00","371200.00","True","","0.00","0","0.00","S.15","16.00","False","fulqty","","","","200","","",""
"4","1","10/21/2016 12:00:00 AM","SO108","","","S.9","MC-30 CutBack                                     ","Drums     ","5.00","","5.00","21000.00","16800.00","121800.00","True","","0.00","0","0.00","","16.00","False","fulqty","","","","200","","",""
"5","1","10/22/2016 12:00:00 AM","SO109","","","S.6                 ","K1-60 Emulsion (60% bidder content)               ","Drums     ","3.00","","3.00","15000.00","7200.00","52200.00","True","","0.00","3","0.00","S.15","16.00","False","fulqty","","","","200","","",""
"6","1","10/22/2016 12:00:00 AM","SO110","","","S.6                 ","K1-60 Emulsion (60% bidder content)               ","Drums     ","50.00","","50.00","14656.00","117248.00","850048.00","True","","0.00","50","0.00","S.15","16.00","False","fulqty","","","","200","","",""
"7","10","10/22/2016 12:00:00 AM","INV59","          ","","S.6                 ","K1-60 Emulsion (60% bidder content)               ","Drums     ","50.00","","","14656.00","117248.00","850048.00","","","","","","","16.00","False","fulqty","","","","200","","",""
"8","10","10/22/2016 12:00:00 AM","INV60","          ","","S.6                 ","K1-60 Emulsion (60% bidder content)               ","Drums     ","3.00","","","15000.00","7200.00","52200.00","","","","","","","16.00","False","fulqty","","","","200","","",""
"9","10","10/21/2016 12:00:00 AM","INV61","          ","","S.7","K1-70  Emulsion (70% bidder content)              ","Drums     ","20.00","","","16000.00","51200.00","371200.00","","","","","","","16.00","False","fulqty","","","","200","","",""
"10","10","10/21/2016 12:00:00 AM","INV61","          ","","S.9","MC-30 CutBack                                     ","Drums     ","5.00","","","21000.00","16800.00","121800.00","","","","","","","16.00","False","fulqty","","","","200","","",""
"11","10","10/21/2016 12:00:00 AM","INV62","          ","","S.6","K1-60 Emulsion (60% bidder content)               ","Drums     ","50.00","","","12980.00","103840.00","752840.00","","","","","","","16.00","False","fulqty","","","","200","","",""
"14","1","10/14/2016 12:00:00 AM","SO114","","","S.9                 ","MC-30 CutBack                                     ","Drums     ","2.00","","2.00","17400.00","5568.00","40368.00","True","","0.00","2","0.00","","16.00","False","fulqty","","","","200","","",""
"15","10","10/14/2016 12:00:00 AM","INV64","          ","","S.9                 ","MC-30 CutBack                                     ","Drums     ","2.00","","","17400.00","5568.00","40368.00","","","","","","","16.00","False","fulqty","","","","200","","",""
"16","1","10/24/2016 12:00:00 AM","SO115","","","S.6                 ","K1-60 Emulsion (60% bidder content)               ","Drums     ","50.00","","50.00","13300.00","106400.00","771400.00","True","","0.00","50","0.00","S.15","16.00","False","fulqty","","","","200","","",""
"17","10","10/24/2016 12:00:00 AM","INV65","          ","","S.6                 ","K1-60 Emulsion (60% bidder content)               ","Drums     ","50.00","","","13300.00","106400.00","771400.00","","","","","","","16.00","False","fulqty","","","","200","","",""
"18","1","10/26/2016 12:00:00 AM","SO118","","","S.6                 ","K1-60 Emulsion (60% bidder content)               ","Drums     ","1.00","","1.00","15000.00","2400.00","17400.00","True","","0.00","1","0.00","S.15","16.00","False","fulqty","","","","200","","",""
"19","1","10/26/2016 12:00:00 AM","SO121","","","S.6                 ","K1-60 Emulsion (60% bidder content)               ","Drums     ","50.00","","50.00","13300.00","106400.00","771400.00","True","","0.00","50","0.00","S.15","16.00","False","fulqty","","","","200","","",""
"21","10","10/26/2016 12:00:00 AM","INV67","          ","","S.6                 ","K1-60 Emulsion (60% bidder content)               ","Drums     ","50.00","","","13300.00","106400.00","771400.00","","","","","","","16.00","False","fulqty","","","","200","","",""
"22","1","10/26/2016 12:00:00 AM","SO122","","","S.6                 ","K1-60 Emulsion (60% bidder content)               ","Drums     ","50.00","","","13600.00","108800.00","788800.00","","","0.00","0","0.00","S.15","16.00","False","fulqty","","","","200","","",""
"23","1","10/26/2016 12:00:00 AM","SO123","","","S.6                 ","K1-60 Emulsion (60% bidder content)               ","Drums     ","50.00","","50.00","13600.00","108800.00","788800.00","True","","0.00","50","0.00","S.15","16.00","False","fulqty","","","","200","","",""
