"itemcode","StockIn","cost","StockOut","StockBalance","rowid","journal","GRN","PartPerUnit"
"S.34                ","100650","0","17385","83265","1","Jv5506              ","LPO31               ",""
"S.34                ","161040","0","0","161040","2","Jv5506              ","LPO31               ",""
"S.43                ","100925","0","0","100925","3","Jv5506              ","LPO31               ",""
"S.43                ","161480","0","0","161480","4","Jv5506              ","LPO31               ",""
"S.120               ","20130","0","20130","0","5","Jv5504              ","LPO104              ",""
"S.120               ","20130","0","20130","0","6","Jv5505              ","LPO105              ",""
"S.13                ","8000","70.5","0","8000","7","Jv5966              ","LPO248              ",""
"S.99                ","6030","62.938773","0","6030","721348","Jv25989             ","B/No808             ",""
"S.7                 ","6634","43.286639","0","6634","721349","Jv25990             ","B/No809             ",""
"S.13                ","8000","71","0","8000","10","Jv6035              ","LPO252              ",""
"S.13                ","2000","71","0","2000","11","Jv6035              ","LPO252              ",""
"S.120               ","25620","50","25620","0","12","Jv6069              ","LPO253              ",""
"S.13                ","6000","70.5","0","6000","13","Jv6178              ","LPO255              ",""
"S.13                ","2000","70.5","0","2000","14","Jv6178              ","LPO255              ",""
"S.15                ","200","1050","200","0","15","Jv4542              ","LPO225              ",""
"S.15                ","100","1050","100","0","16","Jv4544              ","LPO226              ",""
"S.13                ","12000","60","0","12000","17","Jv4641              ","LPO227              ",""
"S.13                ","2000","60","0","2000","18","Jv4641              ","LPO227              ",""
"S.120               ","18300","51.72","18300","0","20","Jv5159              ","LPO230              ",""
"S.15                ","150","1050","150","0","21","Jv5329              ","LPO231              ",""
"S.15                ","100","1050","100","0","22","Jv5331              ","LPO233              ",""
"S.120               ","183","51.72","183","0","23","Jv5498              ","LPO236              ",""
"S.120               ","12078","51.72","12078","0","24","Jv5498              ","LPO236              ",""
"S.13                ","3000","60","0","3000","25","Jv5617              ","LPO237              ",""
"S.13                ","200","60","0","200","26","Jv5617              ","LPO237              ",""
"S.103               ","400","86.207","400","0","27","Jv5583              ","LPO238              ",""
"S.120               ","21045","50","21045","0","28","Jv5848              ","LPO241              ",""
"S.144               ","30","146.55","0","30","29","Jv5891              ","LPO245              ",""
"S.144               ","30","146.55","0","30","30","Jv5891              ","LPO245              ",""
"S.144               ","400","146.55","0","400","31","Jv5891              ","LPO245              ",""
"S.144               ","400","146.55","0","400","32","Jv5891              ","LPO245              ",""
"S.144               ","30","146.55","0","30","33","Jv5891              ","LPO245              ",""
"S.144               ","30","146.55","0","30","34","Jv5891              ","LPO245              ",""
"S.144               ","400","146.55","0","400","35","Jv5891              ","LPO245              ",""
"S.144               ","400","146.55","0","400","36","Jv5891              ","LPO245              ",""
"S.87                ","30","146.55","0","30","37","Jv5891              ","LPO245              ",""
"S.87                ","30","146.55","0","30","38","Jv5891              ","LPO245              ",""
"S.87                ","400","146.55","0","400","39","Jv5891              ","LPO245              ",""
"S.87                ","400","146.55","0","400","40","Jv5891              ","LPO245              ",""
"S.87                ","30","146.55","0","30","41","Jv5891              ","LPO245              ",""
"S.87                ","30","146.55","0","30","42","Jv5891              ","LPO245              ",""
"S.87                ","400","146.55","0","400","43","Jv5891              ","LPO245              ",""
"S.87                ","400","146.55","0","400","44","Jv5891              ","LPO245              ",""
"S.144               ","30","146.55","0","30","45","Jv5891              ","LPO245              ",""
"S.144               ","30","146.55","0","30","46","Jv5891              ","LPO245              ",""
"S.144               ","400","146.55","0","400","47","Jv5891              ","LPO245              ",""
"S.144               ","400","146.55","0","400","48","Jv5891              ","LPO245              ",""
"S.144               ","30","146.55","0","30","49","Jv5891              ","LPO245              ",""
"S.144               ","30","146.55","0","30","50","Jv5891              ","LPO245              ",""
"S.144               ","400","146.55","0","400","51","Jv5891              ","LPO245              ",""
"S.144               ","400","146.55","0","400","52","Jv5891              ","LPO245              ",""
"S.87                ","30","135.78","0","30","53","Jv5891              ","LPO245              ",""
"S.87                ","30","135.78","0","30","54","Jv5891              ","LPO245              ",""
"S.87                ","400","135.78","0","400","55","Jv5891              ","LPO245              ",""
"S.87                ","400","135.78","0","400","56","Jv5891              ","LPO245              ",""
"S.87                ","30","135.78","0","30","57","Jv5891              ","LPO245              ",""
"S.87                ","30","135.78","0","30","58","Jv5891              ","LPO245              ",""
"S.87                ","400","135.78","0","400","59","Jv5891              ","LPO245              ",""
"S.87                ","400","135.78","0","400","60","Jv5891              ","LPO245              ",""
"S.103               ","20","181.0345","20","0","61","Jv5920              ","LPO246              ",""
