"Date","Documentno","Documenttype","Accountno","Grossamount","JournalNo","Dimension_One","Dimension_Two","Currency","whtax"
"5/2/2012 12:00:00 AM","INV1                ","20","cr390               ","-113600.00","J.1009              ","          ","          ","",""
"5/3/2012 12:00:00 AM","INV2                ","20","cr390               ","-159200.00","J.1010              ","          ","          ","",""
"5/7/2012 12:00:00 AM","INV3                ","20","cr390               ","-3793.00","J.1013              ","          ","          ","",""
"5/9/2012 12:00:00 AM","INV4                ","20","cr390               ","-49920.00","J.1015              ","          ","          ","",""
"5/4/2012 12:00:00 AM","PV17                ","20","cr390               ","137.00","J.1030              ","          ","          ","",""
"5/4/2012 12:00:00 AM","PV18                ","20","cr390               ","103.00","J.1031              ","          ","          ","",""
"5/4/2012 12:00:00 AM","PV19                ","20","cr390               ","24.00","J.1032              ","          ","          ","",""
"5/4/2012 12:00:00 AM","PV20                ","20","cr390               ","1724.00","J.1033              ","          ","          ","",""
"5/9/2012 12:00:00 AM","CS1                 ","20","cr390               ","-6621.00","J.1039              ","          ","          ","",""
"5/10/2012 12:00:00 AM","INV5                ","20","cr390               ","-168128.00","J.1040              ","          ","          ","",""
"5/11/2012 12:00:00 AM","CS2                 ","20","cr390               ","-40896.00","J.1041              ","          ","          ","",""
"5/30/2012 12:00:00 AM","CS40                ","20","cr390               ","0.00","J.1352              ","          ","          ","",""
"5/14/2012 12:00:00 AM","CS4                 ","20","cr390               ","-21520.00","J.1043              ","          ","          ","",""
"5/14/2012 12:00:00 AM","INV6                ","20","cr390               ","0.00","J.1044              ","          ","          ","",""
"5/14/2012 12:00:00 AM","CS5                 ","20","cr390               ","-3214.00","J.1045              ","          ","          ","",""
"5/4/2012 12:00:00 AM","INV7                ","20","cr390               ","-284976.00","J.1046              ","          ","          ","",""
"5/15/2012 12:00:00 AM","CS6                 ","20","cr390               ","-4552.00","J.1047              ","          ","          ","",""
"9/27/2012 12:00:00 AM","LIMURU              ","20","cr405               ","-472140.00","J.3270              ","          ","          ","KES",""
"5/16/2012 12:00:00 AM","CS7                 ","20","cr390               ","-119050.00","J.1049              ","          ","          ","",""
"5/17/2012 12:00:00 AM","INV9                ","20","cr390               ","-21520.00","J.1050              ","          ","          ","",""
"5/18/2012 12:00:00 AM","CS8                 ","20","cr390               ","-3214.00","J.1051              ","          ","          ","",""
"5/18/2012 12:00:00 AM","INV10               ","20","cr390               ","-4547.00","J.1052              ","          ","          ","",""
"5/22/2012 12:00:00 AM","INV19               ","20","cr390               ","-144892.00","J.1069              ","          ","          ","",""
"4/26/2013 12:00:00 AM","000463              ","22","cr379               ","200000.00","J.5850              ","          ","          ","",""
"5/19/2012 12:00:00 AM","INV13               ","20","cr390               ","0.00","J.1055              ","          ","          ","",""
"5/21/2012 12:00:00 AM","CS9                 ","20","cr390               ","-6817.00","J.1056              ","          ","          ","",""
