"ReportStyle","ReportCode","Sale_Purchase_Neither","Calculation","system","direct","balance_income","accgrp","currency","accno","accdesc","oldaccno","postinggroup","inactive","pkey"
"0","200003","0","","","True","1","","","15Mo00294           ","Money transfer charges        ","15Mo00294           ","Business            ","False","294"
"0","200004","0","","","True","1","","","15Me00350           ","Medical Insurance             ","15Me00350           ","Business            ","False","350"
"0","200005","0","","","True","1","","","15La00336           ","Land Rates                    ","15La00336           ","Business            ","False","336"
"0","100006","0","","","True","1","","","14Sc00286           ","Scrap Sales                   ","14Sc00286           ","Business            ","False","286"
"0","200007","0","","","True","1","","","14Ch00338           ","Charge On Drums               ","14Ch00338           ","Business            ","False","338"
"0","200008","0","","","True","1","","","13we00265           ","weighbridge                   ","13we00265           ","Business            ","False","265"
"0","200009","0","","","True","1","","","13Wa00300           ","Water and sewerage            ","13Wa00300           ","Business            ","False","300"
"0","200010","0","","","True","1","","","13Wa00293           ","Waste Collection              ","13Wa00293           ","Business            ","False","293"
"0","200011","0","","","True","1","","","13Tr00280           ","Transport $ Traveling         ","13Tr00280           ","Business            ","False","280"
"0","200002","0","","","True","1","","","13TO00284           ","TOOLS for lab                 ","13TO00284           ","Business            ","False","284"
"0","200012","0","","","True","1","","","13st00349           ","staff training                ","13st00349           ","Business            ","False","349"
"0","200013","0","","","True","1","","","13St00291           ","Staff P.P.E.                  ","13St00291           ","Business            ","False","291"
"0","200014","0","","","True","1","","","13st00278           ","staff Welfare                 ","13st00278           ","Business            ","False","278"
"0","200015","0","","","True","1","","","13St00277           ","Stationery                    ","13St00277           ","Business            ","False","277"
"0","200016","0","","","True","1","","","13So00270           ","Software $ Website Expenses   ","13So00270           ","Business            ","False","270"
"0","200017","0","","","True","1","","","13SE00287           ","Security  Expense             ","13SE00287           ","vat                 ","False","287"
"0","200018","0","","","True","1","","","13Sa00370           ","Safety systems                ","13Sa00370           ","Business            ","False","370"
"0","200019","0","","","True","1","","","13SA00312           ","SANITARY SERVICES             ","13SA00312           ","vat                 ","False","312"
"0","200020","0","","","True","1","","","13Sa00295           ","Salaries and wages            ","13Sa00295           ","Business            ","False","295"
"0","200021","0","","","True","1","","","13Sa00292           ","Sales mans Expeses            ","13Sa00292           ","Business            ","False","292"
"0","200000","0","","","True","1","","","13Re00281           ","Plant maintenance             ","13Re00281           ","Business            ","False","281"
"0","200022","0","","","True","1","","","13pr00369           ","prov for bad debts            ","13pr00369           ","Business            ","False","369"
"0","200023","0","","","True","1","","","13po00382           ","postal charges                ","13po00382           ","Business            ","False","382"
"0","200024","0","","","True","1","","","13Pa00275           ","Packaging                     ","13Pa00275           ","Business            ","False","275"
"0","200025","0","","","True","1","","","13Of00354           ","Office repairs and maintenace ","13Of00354           ","Business            ","False","354"
"0","200026","0","","","True","1","","","13ne00352           ","news papers                   ","13ne00352           ","Business            ","False","352"
"0","200027","0","","","True","1","","","13Mo00347           ","Mobile Phones and Accessories ","13Mo00347           ","Business            ","False","347"
"0","200028","0","","","True","1","","","13Mo00342           ","Mombasa Rent                  ","13Mo00342           ","Business            ","False","342"
"0","200029","0","","","True","1","","","13Mo00302           ","Motor Vehicle Maintenance     ","13Mo00302           ","Business            ","False","302"
"0","200030","0","","","True","1","","","13Mo00276           ","Mobile airtime                ","13Mo00276           ","Business            ","False","276"
"0","200031","0","","","True","1","","","13mi00330           ","ministry Expenses             ","13mi00330           ","Business            ","False","330"
"0","200032","0","","","True","1","","","13Mi00290           ","Mileage expense               ","13Mi00290           ","Business            ","False","290"
"0","200033","0","","","True","1","","","13Me00274           ","Medical                       ","13Me00274           ","Business            ","False","274"
"0","200034","0","","","True","1","","","13Lo00366           ","Loan Interest                 ","13Lo00366           ","Business            ","False","366"
"0","200035","0","","","True","1","","","13Li00314           ","Liscenses                     ","13Li00314           ","Business            ","False","314"
"0","200036","0","","","True","1","","","13Le00383           ","Legal Fees                    ","13Le00383           ","Business            ","False","383"
"0","200037","0","","","True","1","","","13La00371           ","Land Valuation costs          ","13La00371           ","Business            ","False","371"
"0","200001","0","","","True","1","","","13la00331           ","lab renewables                ","13la00331           ","Business            ","False","331"
"0","200038","0","","","True","1","","","13KE00381           ","KEBS                          ","13KE00381           ","Business            ","False","381"
"0","200039","0","","","True","1","","","13In00384           ","Interest collection           ","13In00384           ","Business            ","False","384"
"0","200040","0","","","True","1","","","13In00316           ","Insurance                     ","13In00316           ","Business            ","False","316"
"0","200041","0","","","True","1","","","13In00304           ","Internet                      ","13In00304           ","Business            ","False","304"
