"parent_itemcode","parent_description","parent_UOM","batchsize"
"S.10                ","MC-70 Cutback                                                                                       ","loosqty   ","10000"
"S.112               ","BITUSHIELD NO.7                                                                                     ","fulqty    ","1000"
"S.120               ","183 kgs Bitumen 80/100                                                                              ","loosqty   ","1"
"S.122               ","SCRAP(Empty Drums)                                                                                  ","fulqty    ","1500"
"S.150               ","K3-65 COLDMIX EMULSION                                                                              ","loosqty   ","10000"
"S.154               ","Tego Addibit L 300(sale)                                                                            ","loosqty   ","1"
"S.156               ","K3-60                                                                                               ","loosqty   ","30000"
"S.34                ","183 kgs 60-70 Bitumen in Drums                                                                      ","loosqty   ","10000"
"S.35                ","Black Bituminous Paint  PF4                                                                         ","loosqty   ","1100"
"S.41                ","85/25 OXIDIZED BITUMEN                                                                              ","fulqty    ","10000"
"S.43                ","183.5 KG Drummed Bitumen 80/100                                                                     ","loosqty   ","1"
"S.6                 ","K1-60 Emulsion (60% bidder content)                                                                 ","fulqty    ","10000"
"S.60166             ","BITUSHIELD NO. 3                                                                                    ","loosqty   ","360"
"S.60183             ","BITUSHIELD NO 5                                                                                     ","fulqty    ","360"
"S.7                 ","K1-70  Emulsion (70% bidder content)                                                                ","loosqty   ","15000"
"S.87                ","TURPENTINE                                                                                          ","loosqty   ","100"
"S.9                 ","MC-30 CutBack                                                                                       ","loosqty   ","10000"
"S.95                ","ALUMINIUM PAINT                                                                                     ","loosqty   ","180"
"S.99                ","A4-60(ANIONIC EMULSION)                                                                             ","loosqty   ","10000"
