"date","details","cleared","flag","invref","acctfolio","allocat","amount","pamount","module","type","cash","del","curr_cod","curr_rat","id","i_n_t","period","journal","typ","sns","vatamt","vatc","pkey","systypes_1","ledger"
"5/2/2012 12:00:00 AM","Sales                                                                                               ","","DR    ","INV1                ","Dr395               ","","823600","0","","T","True","CR","kes       ","1","","I","-51","J.1009              ","r ","1         ","113600","","124","","02Tr00127           "
"5/3/2012 12:00:00 AM","Sales                                                                                               ","","DR    ","INV2                ","Dr395               ","","1154200","0","","T","True","CR","kes       ","1","","I","-51","J.1010              ","r ","1         ","159200","","125","","02Tr00127           "
"5/7/2012 12:00:00 AM","Sales                                                                                               ","","DR    ","INV3                ","Dr396               ","","27500","0","","T","True","CR","kes       ","1","","I","-51","J.1013              ","r ","1         ","3793","","126","","02St00137           "
"5/7/2012 12:00:00 AM","Receipt                                                                                             ","","DR    ","RC1                 ","Dr396               ","0","-27500","-27500","","T","True","CR","kes       ","1","","R","-51","J.1014              ","_W","1         ","","","127","","02St00137           "
"5/9/2012 12:00:00 AM","Sales                                                                                               ","","DR    ","INV4                ","Dr367               ","","361920","0","","T","True","CR","kes       ","1","","I","-51","J.1015              ","r ","1         ","49920","","128","","02St00137           "
"5/10/2012 12:00:00 AM","Sales                                                                                               ","","DR    ","INV5                ","Dr400               ","","1218928","0","","T","True","CR","kes       ","1","","I","-51","J.1040              ","r ","1         ","168128","","129","","02Ac00126           "
"5/2/2012 12:00:00 AM","Receipt                                                                                             ","","DR    ","RC11                ","Dr395               ","0","-1977800","-1977800","","T","True","CR","kes       ","1","","R","-51","J.1316              ","_W","1         ","","","184","","02Tr00127           "
"5/14/2012 12:00:00 AM","Sales                                                                                               ","","DR    ","INV6                ","Dr367               ","","468000","468000","","T","True","CR","kes       ","1","","I","-51","J.1044              ","r ","1         ","0","","132","","02St00137           "
"5/4/2012 12:00:00 AM","Sales                                                                                               ","","DR    ","INV7                ","Dr403               ","","2066074.38","994085.38","","T","True","CR","kes       ","1","","I","-51","J.1046              ","r ","1         ","284976","","133","","02Ac00126           "
"5/15/2012 12:00:00 AM","Sales                                                                                               ","","DR    ","INV8                ","Dr405               ","","97440","97440","","T","True","CR","kes       ","1","","I","-51","J.1048              ","r ","1         ","13440","","134","","02Tr00127           "
"5/17/2012 12:00:00 AM","Sales                                                                                               ","","DR    ","INV9                ","Dr403               ","","156000","0","","T","True","CR","kes       ","1","","I","-51","J.1050              ","r ","1         ","21520","","135","","02St00137           "
"5/18/2012 12:00:00 AM","Sales                                                                                               ","","DR    ","INV10               ","Dr376               ","","34960.56","-0.44","","T","True","CR","kes       ","1","","I","-51","J.1052              ","r ","1         ","4547","","136","","02Tr00127           "
"5/19/2012 12:00:00 AM","Sales                                                                                               ","","DR    ","INV11               ","Dr432               ","","61700","1700","","T","True","CR","kes       ","1","","I","-51","J.1053              ","r ","1         ","0","","147","","02Ac00126           "
"5/10/2013 12:00:00 AM","Sales                                                                                               ","","DR    ","Revs-INV720         ","Dr498               ","","-815000","0","","T","True","CR","kes       ","1","","I","-39","J.5997              ","R ","1         ","","","1728","","02Ac00126           "
"5/19/2012 12:00:00 AM","Sales                                                                                               ","","DR    ","INV13               ","Dr432               ","","0","0","","T","True","CR","kes       ","1","","I","-51","J.1055              ","r ","1         ","0","","139","","                    "
"5/21/2012 12:00:00 AM","Sales                                                                                               ","","DR    ","INV14               ","Dr407               ","","16478.96","-0.04","","T","True","CR","kes       ","1","","I","-51","J.1057              ","r ","1         ","2273","","140","","02Tr00127           "
"5/21/2012 12:00:00 AM","Sales                                                                                               ","","DR    ","INV15               ","Dr407               ","","16478.96","-0.04","","T","True","CR","kes       ","1","","I","-51","J.1058              ","r ","1         ","2273","","141","","02Tr00127           "
"5/21/2012 12:00:00 AM","Sales                                                                                               ","","DR    ","INV16               ","Dr376               ","","116522","0","","T","True","CR","kes       ","1","","I","-51","J.1062              ","r ","1         ","16072","","142","","02Tr00127           "
"5/22/2012 12:00:00 AM","Sales                                                                                               ","","DR    ","INV17               ","Dr409               ","","82400.4","0.4","","T","True","CR","kes       ","1","","I","-51","J.1063              ","r ","1         ","11366","","144","","02St00137           "
"5/22/2012 12:00:00 AM","Sales                                                                                               ","","DR    ","INV18               ","Dr407               ","","107500","2500","","T","True","CR","kes       ","1","","I","-51","J.1065              ","r ","1         ","0","","145","","02Tr00127           "
"5/22/2012 12:00:00 AM","Receipt                                                                                             ","","DR    ","RC2                 ","Dr407               ","0","-105000","-105000","","T","True","CR","kes       ","1","","R","-51","J.1066              ","_W","1         ","","","146","","02Tr00127           "
"5/22/2012 12:00:00 AM","Receipt                                                                                             ","","DR    ","RC3                 ","Dr432               ","0","-60000","-60000","","T","True","CR","kes       ","1","","R","-51","J.1067              ","_W","1         ","","","148","","02Ac00126           "
"5/22/2012 12:00:00 AM","Receipt                                                                                             ","","DR    ","RC4                 ","Dr407               ","0","-32958","-32958","","T","True","CR","kes       ","1","","R","-51","J.1068              ","_W","1         ","","","149","","02Tr00127           "
"5/22/2012 12:00:00 AM","Sales                                                                                               ","","DR    ","INV19               ","Dr386               ","","1056466.26","0.26","","T","True","CR","kes       ","1","","I","-51","J.1069              ","r ","1         ","144892","","150","","02Ac00126           "
"5/31/2012 12:00:00 AM","Receipt                                                                                             ","","DR    ","RC8                 ","Dr376               ","0","-151483","-151483","","T","True","CR","kes       ","1","","R","-51","J.1217              ","_W","1         ","","","186","","02Tr00127           "
"5/24/2012 12:00:00 AM","Sales                                                                                               ","","DR    ","INV20               ","Dr376               ","","34962.56","-0.44","","T","True","CR","kes       ","1","","I","-51","J.1073              ","r ","1         ","4547","","152","","02Tr00127           "
"5/24/2012 12:00:00 AM","Sales                                                                                               ","","DR    ","INV21               ","Dr373               ","","261000","0","","T","True","CR","kes       ","1","","I","-51","J.1074              ","r ","1         ","36000","","153","","02Tr00127           "
"5/24/2012 12:00:00 AM","Sales                                                                                               ","","DR    ","INV22               ","Dr413               ","","198360","0","","T","True","CR","kes       ","1","","I","-51","J.1077              ","r ","1         ","27360","","154","","02Tr00127           "
"5/25/2012 12:00:00 AM","Sales                                                                                               ","","DR    ","INV23               ","Dr403               ","","164720","0","","T","True","CR","kes       ","1","","I","-51","J.1078              ","r ","1         ","22720","","155","","02Ac00126           "
"5/25/2012 12:00:00 AM","Sales                                                                                               ","","DR    ","INV24               ","Dr405               ","","83520","83520","","T","True","CR","kes       ","1","","I","-51","J.1079              ","r ","1         ","11520","","156","","02Tr00127           "
"5/25/2012 12:00:00 AM","Sales                                                                                               ","","DR    ","INV25               ","Dr409               ","","72384","0","","T","True","CR","kes       ","1","","I","-51","J.1080              ","r ","1         ","9984","","157","","02St00137           "
"5/25/2012 12:00:00 AM","Receipt                                                                                             ","","DR    ","RC5                 ","Dr409               ","0","-150000","-150000","","T","True","CR","kes       ","1","","R","-51","J.1081              ","_W","1         ","","","158","","02St00137           "
"5/26/2012 12:00:00 AM","Sales                                                                                               ","","DR    ","INV26               ","Dr411               ","","91500.29","0.29","","T","True","CR","kes       ","1","","I","-51","J.1083              ","r ","1         ","12621","","160","","02Tr00127           "
"5/28/2012 12:00:00 AM","Sales                                                                                               ","","DR    ","INV27               ","Dr414               ","","1050440","0","","T","True","CR","kes       ","1","","I","-51","J.1087              ","r ","1         ","136640","","161","","02Tr00127           "
"5/30/2012 12:00:00 AM","Sales                                                                                               ","","DR    ","INV27               ","Dr414               ","","0","0","","T","True","CR","          ","1","","I","-51","J.1100              ","R ","1         ","","","165","","02Tr00127           "
"6/6/2012 12:00:00 AM","Receipt                                                                                             ","","DR    ","RC10                ","Dr376               ","0","-212040","-212040","","T","True","CR","kes       ","1","","R","-50","J.1310              ","_W","1         ","","","185","","02Tr00127           "
"6/6/2012 12:00:00 AM","Sales                                                                                               ","","DR    ","INV41               ","Dr367               ","","904800","0","","T","True","CR","kes       ","1","","I","-50","J.1322              ","r ","1         ","124800","","188","","02Tr00127           "
"6/7/2012 12:00:00 AM","Sales                                                                                               ","","DR    ","INV42               ","Dr424               ","","1830000.88","-0.12","","T","True","CR","kes       ","1","","I","-50","J.1324              ","r ","1         ","252423","","189","","02St00137           "
"6/4/2012 12:00:00 AM","Sales                                                                                               ","","DR    ","INV35               ","Dr373               ","","261000","0","","T","True","CR","kes       ","1","","I","-50","J.1223              ","r ","1         ","36000","","176","","02Tr00127           "
"6/4/2012 12:00:00 AM","Sales                                                                                               ","","DR    ","INV30               ","Dr376               ","","88520","0","","T","True","CR","kes       ","1","","I","-50","J.1227              ","r ","1         ","11520","","178","","02Tr00127           "
