"assetid","serialno","barcode","assetlocation","cost","accumdepn","datepurchased","disposalproceeds","assetcategoryid","description","longdescription","depntype","depnrate","disposaldate"
"1","","","Main  ","33050","0","11/30/2016 11:37:45 AM","0","F002  ","Furniture","Three double pedestal wooden desks, two steel cupboards,one steel cabinet,two old visitor steel framed chairs with arm rest,one revolving low executive chair,one small steel cupboard,one small wooden cabinet, two high wooden lab stools , one old torn visitors chair, one small steel framed  single pedastal desk","0","0",""
"2","","041/2018","Main  ","0","0","10/30/2018 9:51:49 AM","0","L001  ","PH Meter Portable ADWA AD132","PH Meter Portable ADWA AD132
Including: PH Probe, Temp Probe, 20ml buffer PH4,
20ml buffer PH7, 4 alkaline batteries and user manual.","0","0",""
"1002","CNBmmCG2NH","QBPL P","Main  ","60000","0","3/6/2020 9:55:50 AM","0","S001  ","Printer","Office printers LASERJET PRO M479
COLOR","1","30",""
"1003","XD-2020-06-10-0001","QBPL B","Main  ","148200","0","9/2/2020 10:13:28 AM","0","P001  ","Burner","B718  Complete Light Oil Burner","1","2",""
"1004","C-300*50","W0001","Main  ","60000","0","10/13/2020 3:11:09 PM","0","P001  ","WEIGHINING MACHINE","Digital weighing machine with stainless cover","0","15",""
"1005","C-500*50","W0002","Main  ","110000","0","10/13/2020 3:13:00 PM","0","P001  ","WEIGHINING MACHINE 2","Digital weighing machine-floor scale  ","0","15",""
"1007","Serial no. XD-2020-06-10-0001","","Main  ","148200","0","11/9/2020 3:31:45 PM","0","P001  ","Burner2","BT18 COMPLETE LIGHT OIL BURNER","0","15",""
"1008","Second hand items GRN1595","","Main  ","285000","0","11/10/2020 3:51:26 PM","0","P001  ","Mill, Mixer,Hoper,Motor &amp; Tank","Mill, Mixer, Hoper, Tank600ltrs, 3pcs of motors ","1","15",""
"1009","5GH618S5HW","5GH618S5HW","Main  ","55000","0","4/22/2021 4:12:17 PM","0","S001  ","HP 800g2 AIO15","HP LAPTOPS","1","30",""
"1010","R95pp5y","","Main  ","0","0","7/7/2021 1:58:18 PM","0","S001  ","Computer R95pp5y","Lenovo ","0","30",""
"1011","R99Z9BO","","Main  ","0","0","7/7/2021 2:00:13 PM","0","S001  ","Computer R99Z9BO","Lenovo","0","30",""
"1012","CNU3099XSW","","Main  ","0","0","7/7/2021 2:02:38 PM","0","S001  ","Computer CNU3099XSW","HP 9470core 17 ","0","30",""
"1013","C02JKDWYDTY3","","Main  ","0","0","7/7/2021 2:04:03 PM","0","S001  ","Computer C02JKDWYDTY3","Macbook pro i5","0","30",""
"1014","CND18A4796","","Main  ","55000","0","7/7/2021 3:57:59 PM","0","S001  ","HP  CND18A4796","HP 800 g2 AIO i5","0","30",""
"1015","White","","Main  ","50000","0","7/7/2021 4:08:47 PM","0","F002  ","Tent","White tent","0","12.5",""
"1016","","","Main  ","20000.04","0","4/22/2022 12:19:18 PM","0","F002  ","Alumimium Outriggers","Aluminium Outriggers","0","12.5",""
"1017","","","Main  ","0","0","4/22/2022 12:53:43 PM","0","F002  ","Alumimium Outriggers","Aluminium Outriggers","0","12.5",""
"1018","","","Main  ","90000","0","4/22/2022 12:54:47 PM","0","F002  ","Wooden Office Desks","Wooden Office Desks","0","12.5",""
"1019","","","Main  ","696","0","7/22/2022 2:09:47 PM","0","L001  ","Beaker 250ML","Beaker 250ML","0","0",""
"1020","","","Main  ","313.2","0","7/22/2022 2:10:25 PM","0","L001  ","Beaker 500ml","Beaker Glass 500ml","0","0",""
"1021","","","Main  ","365.4","0","7/22/2022 2:10:59 PM","0","L001  ","Beaker 1000ml","Beaker 1000ml","0","0",""
"1022","","","Main  ","4071.6","0","7/22/2022 2:11:51 PM","0","L001  ","Volumetric Flask","Volumetric Flask 200ML ( Brosil)Plastic Stopper","0","0",""
"1023","","","Main  ","2487.04","0","7/22/2022 2:13:08 PM","0","L001  ","Distillation Flask","Distillation Flask with side Arm","0","0",""
"1024","","","Main  ","382.8","0","7/22/2022 2:17:09 PM","0","L001  ","Magnet For Magnetic Stirer coated ","Magnet For Magnetic Stirer coated 12x3mm","0","0",""
"1025","","","Main  ","429.2","0","7/22/2022 2:18:02 PM","0","L001  ","Magnet for magnetic Strirer coated","Magnet for magnetic Strirer coated","0","0",""
"1026","","","Main  ","464","0","7/22/2022 2:21:33 PM","0","L001  ","Watch Glass 75MM","Watch Glass 75MM","0","0",""
"1027","","","Main  ","5655","0","7/22/2022 2:22:43 PM","0","L001  ","Pyknometer","Pyknometer with thermometer 50MLBorosil -1627012","0","0",""
"1028","","","Main  ","4541.4","0","7/22/2022 2:27:39 PM","0","L001  ","Xylene AR (21940LC)","Xylene AR (21940LC) 2.5LTR FINAR","0","0",""
"1029","","","Main  ","0","0","7/22/2022 2:27:44 PM","0","L001  ","Xylene AR (21940LC)","Xylene AR (21940LC) 2.5LTR FINAR","0","0",""
"1030","","","Main  ","43597.44","0","7/22/2022 2:29:34 PM","0","L001  ","Distillation App. 2L ","Distillation App. 2L With Friedrichs condensor, Joint 24/29","0","0",""
"1031","","","Main  ","4373.2","0","7/22/2022 2:30:54 PM","0","L001  ","Hanna Buffer PH 4.00","Hanna Buffer PH 4.00 500ml","0","0",""
"1032","","","Main  ","4373.2","0","7/22/2022 2:31:56 PM","0","L001  ","Hanna Buffer 10PH","Hanna Buffer 10PH 10.00","0","0",""
