"id","assetid","transtype","transdate","transno","periodno","inputdate","fixedassettranstype","amount","units"
"1","2","41","11/2/2018 12:00:00 AM","4","43","11/2/2018 12:00:00 AM","cost","62640","1"
"2","1002","41","3/5/2020 12:00:00 AM","5","43","3/5/2020 12:00:00 AM","cost","60000","1"
"3","1004","41","10/10/2020 12:00:00 AM","6","50","10/10/2020 12:00:00 AM","cost","60000","1"
"4","1005","41","10/10/2020 12:00:00 AM","7","50","10/10/2020 12:00:00 AM","cost","110000","1"
"5","1003","41","8/26/2020 12:00:00 AM","8","51","8/26/2020 12:00:00 AM","cost","148200","1"
"6","1007","41","10/8/2020 12:00:00 AM","9","51","10/8/2020 12:00:00 AM","cost","148200","1"
"7","1008","41","10/21/2020 12:00:00 AM","10","51","10/21/2020 12:00:00 AM","cost","285000","1"
"8","1009","41","2/1/2021 12:00:00 AM","11","59","2/1/2021 12:00:00 AM","cost","55000","1"
"9","1014","41","2/1/2021 12:00:00 AM","11","59","2/1/2021 12:00:00 AM","cost","55000","1"
"10","1015","41","4/10/2021 12:00:00 AM","12","59","4/10/2021 12:00:00 AM","cost","50000","1"
"11","1016","41","3/30/2022 12:00:00 AM","13","68","3/30/2022 12:00:00 AM","cost","20000.04","6"
"12","1018","41","3/30/2022 12:00:00 AM","13","68","3/30/2022 12:00:00 AM","cost","90000","3"
"13","1019","41","7/13/2022 12:00:00 AM","14","71","7/13/2022 12:00:00 AM","cost","696","4"
"14","1021","41","7/13/2022 12:00:00 AM","14","71","7/13/2022 12:00:00 AM","cost","365.4","1"
"15","1020","41","7/13/2022 12:00:00 AM","14","71","7/13/2022 12:00:00 AM","cost","313.2","1"
"16","1022","41","7/13/2022 12:00:00 AM","14","71","7/13/2022 12:00:00 AM","cost","4071.6","3"
"17","1023","41","7/13/2022 12:00:00 AM","14","71","7/13/2022 12:00:00 AM","cost","2487.04","2"
"18","1024","41","7/13/2022 12:00:00 AM","14","71","7/13/2022 12:00:00 AM","cost","382.8","1"
"19","1025","41","7/13/2022 12:00:00 AM","14","71","7/13/2022 12:00:00 AM","cost","429.2","1"
"20","1026","41","7/13/2022 12:00:00 AM","14","71","7/13/2022 12:00:00 AM","cost","464","4"
"21","1027","41","7/13/2022 12:00:00 AM","14","71","7/13/2022 12:00:00 AM","cost","5655","1"
"22","1028","41","7/13/2022 12:00:00 AM","14","71","7/13/2022 12:00:00 AM","cost","4541.4","1"
"23","1030","41","7/13/2022 12:00:00 AM","14","71","7/13/2022 12:00:00 AM","cost","43597.44","2"
"24","1031","41","7/13/2022 12:00:00 AM","14","71","7/13/2022 12:00:00 AM","cost","4373.2","1"
"25","1032","41","7/13/2022 12:00:00 AM","14","71","7/13/2022 12:00:00 AM","cost","4373.2","1"
