"docno","date","itemcode","externalref","narrative","amount","printed","journal","currency","status","Comments","ChequePrinted"
"38                  ","10/14/2016 12:00:00 AM","cr483               ","RTGS","Paid in KES","315000.00","True","Jv499","KES       ","3","KES THREE HUNDRED FIFTEEN THOUSAND  ONLY","False"
"39                  ","10/14/2016 12:00:00 AM","cr483               ","LPO1638","Paid in KES","315000.00","","Jv536","KES       ","3","KES THREE HUNDRED FIFTEEN THOUSAND  ONLY","False"
"40                  ","10/14/2016 12:00:00 AM","cr583               ","RTGS","Paid in KES","130000.00","True","Jv579","KES       ","3","KES ONE HUNDRED THIRTY THOUSAND  ONLY","False"
"43                  ","10/21/2016 12:00:00 AM","cr354               ","RTGS","Paid in KES","69600.00","True","Jv640","KES       ","3","KES SIXTY-NINE THOUSAND SIX HUNDRED  ONLY","False"
"45                  ","10/21/2016 12:00:00 AM","cr483               ","rtgs","Paid in KES","200950.00","","Jv670","KES       ","9","Wrong bank account selection",""
"46                  ","10/21/2016 12:00:00 AM","cr483               ","rtgs","Paid in KES","200950.00","True","Jv671","KES       ","3","KES TWO HUNDRED THOUSAND NINE HUNDRED FIFTY  ONLY","False"
"47                  ","10/14/2016 12:00:00 AM","cr585               ","rtgs","Paid in KES","150000.00","True","Jv672","KES       ","3","KES ONE HUNDRED FIFTY THOUSAND  ONLY","False"
"48                  ","10/12/2016 12:00:00 AM","cr473               ","rtgs","Paid in KES","177541.00","True","Jv673","KES       ","3","KES ONE HUNDRED SEVENTY-SEVEN THOUSAND FIVE HUNDRED FORTY-ONE  ONLY","False"
"49                  ","10/12/2016 12:00:00 AM","cr558               ","rtgs","Paid in KES","1000006.00","True","Jv675","KES       ","3","KES ONE MILLION SIX  ONLY","False"
"50                  ","11/2/2016 12:00:00 AM","cr483               ","rtgs","Paid in KES","257250.00","True","Jv676","KES       ","3","KES TWO HUNDRED FIFTY-SEVEN THOUSAND TWO HUNDRED FIFTY  ONLY","False"
"52                  ","10/21/2016 12:00:00 AM","cr354               ","rtgs","Paid in KES","69600.00","True","Jv682","KES       ","3","payment for inv 1082",""
"58                  ","11/16/2016 12:00:00 AM","cr483               ","PO1638,1645","Paid in KES","249650.00","True","Jv718","KES       ","3","KES TWO HUNDRED FORTY-NINE THOUSAND SIX HUNDRED FIFTY  ONLY","False"
"71                  ","10/26/2016 12:00:00 AM","cr354               ","inv1109","Paid in KES","69600.00","True","Jv742","KES       ","3","KES SIXTY-NINE THOUSAND SIX HUNDRED  ONLY","False"
"72                  ","10/14/2016 12:00:00 AM","cr580               ","po1609,1624","Paid in KES","100000.00","","Jv916","KES       ","9","",""
"73                  ","10/14/2016 12:00:00 AM","cr580               ","PO1609,1624","Paid in KES","100000.00","","Jv917","KES       ","3","KES ONE HUNDRED THOUSAND  ONLY","False"
"74                  ","10/18/2016 12:00:00 AM","cr570               ","PO1522","Paid in KES","100000.00","True","Jv919","KES       ","3","KES ONE HUNDRED THOUSAND  ONLY","False"
"75                  ","10/18/2016 12:00:00 AM","cr488               ","PO1359","Paid in KES","100000.00","True","Jv921","KES       ","3","KES ONE HUNDRED THOUSAND  ONLY","False"
"76                  ","10/24/2016 12:00:00 AM","cr402               ","GRN1349","Paid in KES","64235.00","True","Jv923","KES       ","3","KES SIXTY-FOUR THOUSAND TWO HUNDRED THIRTY-FIVE  ONLY","False"
"77                  ","11/24/2016 12:00:00 AM","cr354               ","INM1135","Paid in KES","69600.00","True","Jv925","KES       ","3","KES SIXTY-NINE THOUSAND SIX HUNDRED  ONLY","False"
"78                  ","11/24/2016 12:00:00 AM","cr473               ","pv00345","Paid in KES","193415.00","True","Jv927","KES       ","3","KES ONE HUNDRED NINETY-THREE THOUSAND FOUR HUNDRED FIFTEEN  ONLY","False"
"79                  ","10/21/2016 12:00:00 AM","cr380               ","","Paid in KES","34336.00","True","Jv937","KES       ","3","KES THIRTY-FOUR THOUSAND THREE HUNDRED THIRTY-SIX  ONLY","False"
"83                  ","10/7/2016 12:00:00 AM","cr575               ","","Paid in KES","60000.00","True","Jv948","KES       ","3","KES SIXTY THOUSAND  ONLY","False"
"85                  ","11/24/2016 12:00:00 AM","cr553               ","rtgs","Paid in KES","80000.00","","Jv1192","KES       ","3","KES EIGHTY THOUSAND  ONLY","False"
"86                  ","11/15/2016 12:00:00 AM","cr356               ","rtgs","Paid in KES","256000.00","True","Jv1298","KES       ","3","KES TWO HUNDRED FIFTY-SIX THOUSAND  ONLY","False"
"87                  ","12/6/2016 12:00:00 AM","cr356               ","rtgs","Paid in KES","208890.00","","Jv1351","KES       ","9","Purchase of kerosine and diesel deposit",""
"88                  ","12/6/2016 12:00:00 AM","cr356               ","PINV28","Paid in KES","208890.00","True","Jv1353","KES       ","3","KES TWO HUNDRED EIGHT THOUSAND EIGHT HUNDRED NINETY  ONLY","False"
"89                  ","11/24/2016 12:00:00 AM","cr380               ","rtgs","Paid in KES","28768.00","True","Jv1368","KES       ","3","KES TWENTY-EIGHT THOUSAND SEVEN HUNDRED SIXTY-EIGHT  ONLY","False"
"90                  ","10/13/2016 12:00:00 AM","cr590               ","rtgs","Paid in KES","1513873.00","True","Jv1371","KES       ","3","KES ONE MILLION FIVE HUNDRED THIRTEEN THOUSAND EIGHT HUNDRED SEVENTY-THREE  ONLY","False"
"91                  ","10/7/2016 12:00:00 AM","cr575               ","rtgs","Paid in KES","300000.00","True","Jv1373","KES       ","3","KES THREE HUNDRED THOUSAND  ONLY","False"
"92                  ","10/26/2016 12:00:00 AM","cr575               ","rtgs","Paid in KES","115000.00","True","Jv1375","KES       ","3","KES ONE HUNDRED FIFTEEN THOUSAND  ONLY","False"
"93                  ","11/17/2016 12:00:00 AM","cr575               ","rtgs","Paid in KES","79780.00","True","Jv1377","KES       ","3","KES SEVENTY-NINE THOUSAND SEVEN HUNDRED EIGHTY  ONLY","False"
"94                  ","10/24/2016 12:00:00 AM","cr575               ","rtgs","Paid in KES","141486.00","True","Jv1380","KES       ","3","KES ONE HUNDRED FORTY-ONE THOUSAND FOUR HUNDRED EIGHTY-SIX  ONLY","False"
"96                  ","10/21/2016 12:00:00 AM","cr575               ","rtgs","Paid in KES","114000.00","True","Jv1382","KES       ","3","KES ONE HUNDRED FOURTEEN THOUSAND  ONLY","False"
"97                  ","10/14/2016 12:00:00 AM","cr567               ","rtgs","Paid in KES","431800.00","True","Jv1385","KES       ","3","KES FOUR HUNDRED THIRTY-ONE THOUSAND EIGHT HUNDRED  ONLY","False"
"98                  ","12/19/2016 12:00:00 AM","cr473               ","pv00554","Paid in KES","201654.00","True","Jv1399","KES       ","3","KES TWO HUNDRED ONE THOUSAND SIX HUNDRED FIFTY-FOUR  ONLY","False"
"99                  ","12/20/2016 12:00:00 AM","cr381               ","rtgs","Paid in KES","100000.00","True","Jv1406","KES       ","3","KES ONE HUNDRED THOUSAND  ONLY","False"
"100                 ","12/20/2016 12:00:00 AM","cr570               ","PO1522","Paid in KES","100000.00","True","Jv1410","KES       ","3","KES ONE HUNDRED THOUSAND  ONLY","False"
"101                 ","12/20/2016 12:00:00 AM","cr483               ","inv071","Paid in KES","310800.00","True","Jv1413","KES       ","3","KES THREE HUNDRED TEN THOUSAND EIGHT HUNDRED  ONLY","False"
"102                 ","12/20/2016 12:00:00 AM","cr483               ","inv072","Paid in KES","210000.00","True","Jv1419","KES       ","3","KES TWO HUNDRED TEN THOUSAND  ONLY","False"
"103                 ","11/12/2016 12:00:00 AM","cr575               ","rtgs","Paid in KES","209450.00","True","Jv1426","KES       ","3","KES TWO HUNDRED NINE THOUSAND FOUR HUNDRED FIFTY  ONLY","False"
"104                 ","1/9/2017 12:00:00 AM","cr372               ","chq no.310","Paid in KES","207216.00","True","Jv1517","KES       ","3","KES TWO HUNDRED SEVEN THOUSAND TWO HUNDRED SIXTEEN  ONLY","False"
"105                 ","10/12/2016 12:00:00 AM","cr571               ","","Paid in KES","205000.00","True","Jv1655","KES       ","3","KES TWO HUNDRED FIVE THOUSAND  ONLY","False"
"106                 ","10/3/2016 12:00:00 AM","cr575               ","chq no. 445","Paid in KES","12500.00","True","Jv1659","KES       ","3","KES TWELVE THOUSAND FIVE HUNDRED  ONLY","False"
"56                  ","10/26/2016 12:00:00 AM","cr583               ","pv00349","Paid in KES","100000.00","True","Jv713","KES       ","3","KES ONE HUNDRED THOUSAND  ONLY","False"
"57                  ","10/26/2016 12:00:00 AM","cr543               ","P.O1419","Paid in KES","165000.00","True","Jv715","KES       ","3","KES ONE HUNDRED SIXTY-FIVE THOUSAND  ONLY","False"
