"docno","itemcode","narrative","amount","journal","invoice_journal","Dimension_1","Dimension_2","Budget","Committed","Expensed","Balance","whtax"
"38                  ","cr483               ","Paid in KES","315000.00","Jv499","J.18182             ","                    ","                    ","0.00","0.00","5391667.00","-5706667.00",""
"39                  ","cr483               ","Paid in KES","315000.00","Jv536","J.18182             ","                    ","                    ","0.00","39440.00","5768849.96","-6123289.96",""
"40                  ","cr583               ","Paid in KES","130000.00","Jv579","J.18361             ","                    ","                    ","0.00","202002.40","8982767.90","-9314770.30",""
"43                  ","cr354               ","Paid in KES","30160.00","Jv640","J.11429             ","                    ","                    ","0.00","323802.40","10743814.00","-11097776.40",""
"43                  ","cr354               ","Paid in KES","4640.00","Jv640","J.14974             ","                    ","                    ","0.00","323802.40","10743814.00","-11072256.40",""
"43                  ","cr354               ","Paid in KES","34800.00","Jv640","J.18367             ","                    ","                    ","0.00","323802.40","10743814.00","-11102416.40",""
"45                  ","cr483               ","Paid in KES","105000.00","Jv670","J.18182             ","                    ","                    ","0.00","323802.40","11649949.97","-12078752.37",""
"45                  ","cr483               ","Paid in KES","95950.00","Jv670","J.18377             ","                    ","                    ","0.00","323802.40","11649949.97","-12069702.37",""
"46                  ","cr483               ","Paid in KES","105000.00","Jv671","J.18182             ","                    ","                    ","0.00","323802.40","11649949.97","-12078752.37",""
"46                  ","cr483               ","Paid in KES","95950.00","Jv671","J.18377             ","                    ","                    ","0.00","323802.40","11649949.97","-12069702.37",""
"47                  ","cr585               ","Paid in KES","150000.00","Jv672","J.18597             ","                    ","                    ","0.00","323802.40","11649949.97","-12123752.37",""
"48                  ","cr473               ","Paid in KES","177541.00","Jv673","J.9861              ","E2                  ","                    ","0.00","323802.40","11649949.97","-12151293.37",""
"49                  ","cr558               ","Paid in KES","631475.00","Jv675","J.16141             ","                    ","                    ","0.00","323802.40","11817947.93","-12773225.33",""
"49                  ","cr558               ","Paid in KES","368531.00","Jv675","J.16142             ","                    ","                    ","0.00","323802.40","11817947.93","-12510281.33",""
"50                  ","cr483               ","Paid in KES","105000.00","Jv676","J.18593             ","                    ","                    ","0.00","323802.40","11817947.93","-12246750.33",""
"50                  ","cr483               ","Paid in KES","152250.00","Jv676","J.18594             ","                    ","                    ","0.00","323802.40","11817947.93","-12294000.33",""
"52                  ","cr354               ","Paid in KES","30160.00","Jv682","J.11429             ","                    ","                    ","0.00","323802.40","11817947.93","-12171910.33",""
"52                  ","cr354               ","Paid in KES","4640.00","Jv682","J.14974             ","                    ","                    ","0.00","323802.40","11817947.93","-12146390.33",""
"52                  ","cr354               ","Paid in KES","34800.00","Jv682","J.18367             ","                    ","                    ","0.00","323802.40","11817947.93","-12176550.33",""
"58                  ","cr483               ","Paid in KES","155150.00","Jv718","J.18182             ","                    ","                    ","0.00","323802.40","12453599.42","-12932551.82",""
"58                  ","cr483               ","Paid in KES","94500.00","Jv718","J.18378             ","                    ","                    ","0.00","323802.40","12453599.42","-12871901.82",""
"71                  ","cr354               ","Paid in KES","30160.00","Jv742","J.11429             ","                    ","                    ","0.00","323802.40","12762568.42","-13116530.82",""
"71                  ","cr354               ","Paid in KES","4640.00","Jv742","J.14974             ","                    ","                    ","0.00","323802.40","12762568.42","-13091010.82",""
"71                  ","cr354               ","Paid in KES","34800.00","Jv742","J.18367             ","                    ","                    ","0.00","323802.40","12762568.42","-13121170.82",""
"72                  ","cr580               ","Paid in KES","50000.00","Jv916","J.17965             ","                    ","                    ","0.00","627802.36","18259059.14","-18936861.50",""
"72                  ","cr580               ","Paid in KES","50000.00","Jv916","J.18052             ","                    ","                    ","0.00","627802.36","18259059.14","-18936861.50",""
"73                  ","cr580               ","Paid in KES","50000.00","Jv917","J.17965             ","                    ","                    ","0.00","627802.36","18259059.14","-18936861.50",""
"73                  ","cr580               ","Paid in KES","50000.00","Jv917","J.18052             ","                    ","                    ","0.00","627802.36","18259059.14","-18936861.50",""
"74                  ","cr570               ","Paid in KES","100000.00","Jv919","J.17075             ","                    ","                    ","0.00","627802.36","18259059.14","-18986861.50",""
"75                  ","cr488               ","Paid in KES","100000.00","Jv921","J.13733             ","                    ","                    ","0.00","627802.36","18259059.14","-18986861.50",""
"76                  ","cr402               ","Paid in KES","50202.00","Jv923","J.7779              ","                    ","                    ","0.00","627802.36","18259059.14","-18937063.50",""
"76                  ","cr402               ","Paid in KES","5479.00","Jv923","J.14145             ","                    ","                    ","0.00","627802.36","18259059.14","-18892340.50",""
"76                  ","cr402               ","Paid in KES","8554.00","Jv923","J.18937             ","                    ","                    ","0.00","627802.36","18259059.14","-18895415.50",""
"77                  ","cr354               ","Paid in KES","69600.00","Jv925","Jv626               ","                    ","                    ","0.00","627802.36","18259059.14","-18956461.50",""
"78                  ","cr473               ","Paid in KES","193415.00","Jv927","Jv666               ","E2                  ","                    ","0.00","627802.36","18259059.14","-19080276.50",""
"79                  ","cr380               ","Paid in KES","125.00","Jv937","J.1372              ","E7                  ","                    ","0.00","627802.36","18558854.16","-19186781.52",""
"79                  ","cr380               ","Paid in KES","1367.44","Jv937","J.6158              ","E7                  ","                    ","0.00","627802.36","18558854.16","-19188023.96",""
"79                  ","cr380               ","Paid in KES","9319.66","Jv937","J.6806              ","E7                  ","                    ","0.00","627802.36","18558854.16","-19195976.18",""
"79                  ","cr380               ","Paid in KES","2842.00","Jv937","J.11338             ","E7                  ","                    ","0.00","627802.36","18558854.16","-19189498.52",""
"56                  ","cr583               ","Paid in KES","100000.00","Jv713","Jv711               ","E24                 ","                    ","0.00","323802.40","12453599.42","-12877401.82",""
"57                  ","cr543               ","Paid in KES","165000.00","Jv715","J.17290             ","                    ","                    ","0.00","323802.40","12453599.42","-12942401.82",""
"79                  ","cr380               ","Paid in KES","7273.20","Jv937","J.11437             ","E7                  ","                    ","0.00","627802.36","18558854.16","-19193929.72",""
"79                  ","cr380               ","Paid in KES","661.20","Jv937","J.11818             ","                    ","                    ","0.00","627802.36","18558854.16","-19187317.72",""
"70                  ","cr531               ","Paid in KES","299981.00","Jv731","J.17158             ","                    ","                    ","0.00","323802.40","12461937.42","-13085720.82",""
"70                  ","cr531               ","Paid in KES","650.00","Jv731","Jv720               ","E21                 ","                    ","0.00","323802.40","12461937.42","-12786389.82",""
"79                  ","cr380               ","Paid in KES","8595.60","Jv937","J.12229             ","E7                  ","                    ","0.00","627802.36","18558854.16","-19195252.12",""
"79                  ","cr380               ","Paid in KES","846.80","Jv937","J.12230             ","E7                  ","                    ","0.00","627802.36","18558854.16","-19187503.32",""
"79                  ","cr380               ","Paid in KES","3305.10","Jv937","J.13228             ","E7                  ","                    ","0.00","627802.36","18558854.16","-19189961.62",""
"85                  ","cr553               ","Paid in KES","0.04","Jv1192","J.18390             ","                    ","                    ","0.00","546562.40","32132078.77","-32678641.21",""
"85                  ","cr553               ","Paid in KES","79999.96","Jv1192","Jv1182              ","                    ","                    ","0.00","546562.40","32132078.77","-32758641.13",""
"86                  ","cr356               ","Paid in KES","159999.98","Jv1298","Jv1290              ","                    ","                    ","0.00","386562.40","36343754.37","-36890316.75",""
"86                  ","cr356               ","Paid in KES","96000.02","Jv1298","Jv1291              ","                    ","                    ","0.00","386562.40","36343754.37","-36826316.79",""
"87                  ","cr356               ","Paid in KES","208890.00","Jv1351","Jv1183              ","                    ","                    ","0.00","386562.40","38366831.35","-38962283.75",""
"88                  ","cr356               ","Paid in KES","208890.00","Jv1353","Jv1183              ","                    ","                    ","0.00","386562.40","38366831.35","-38962283.75",""
"89                  ","cr380               ","Paid in KES","1367.44","Jv1368","J.6158              ","E7                  ","                    ","0.00","386562.40","38581362.73","-38969292.57",""
"89                  ","cr380               ","Paid in KES","9319.66","Jv1368","J.6806              ","E7                  ","                    ","0.00","386562.40","38581362.73","-38977244.79",""
"89                  ","cr380               ","Paid in KES","2842.00","Jv1368","J.11338             ","E7                  ","                    ","0.00","386562.40","38581362.73","-38970767.13",""
"89                  ","cr380               ","Paid in KES","7273.00","Jv1368","J.11437             ","E7                  ","                    ","0.00","386562.40","38581362.73","-38975198.13",""
"89                  ","cr380               ","Paid in KES","661.20","Jv1368","J.11818             ","                    ","                    ","0.00","386562.40","38581362.73","-38968586.33",""
"89                  ","cr380               ","Paid in KES","7304.70","Jv1368","J.12229             ","E7                  ","                    ","0.00","386562.40","38581362.73","-38975229.83",""
"90                  ","cr590               ","Paid in KES","1513873.00","Jv1371","Jv1370              ","                    ","                    ","0.00","386562.40","40304045.80","-42204481.20",""
"91                  ","cr575               ","Paid in KES","170000.00","Jv1373","J.18384             ","                    ","                    ","0.00","386562.40","40304045.80","-40860608.20",""
"91                  ","cr575               ","Paid in KES","130000.00","Jv1373","J.18386             ","                    ","                    ","0.00","386562.40","40304045.80","-40820608.20",""
"92                  ","cr575               ","Paid in KES","115000.00","Jv1375","J.18384             ","                    ","                    ","0.00","386562.40","40304045.80","-40805608.20",""
"93                  ","cr575               ","Paid in KES","79780.00","Jv1377","J.18674             ","                    ","                    ","0.00","386562.40","40304045.80","-40770388.20",""
"94                  ","cr575               ","Paid in KES","141486.00","Jv1380","J.18674             ","                    ","                    ","0.00","386562.40","40514785.80","-41042834.20",""
"96                  ","cr575               ","Paid in KES","114000.00","Jv1382","J.18674             ","                    ","                    ","0.00","386562.40","40514785.80","-41015348.20",""
"97                  ","cr567               ","Paid in KES","431800.00","Jv1385","Jv1384              ","                    ","                    ","0.00","386562.40","40946585.80","-41764948.20",""
"98                  ","cr473               ","Paid in KES","201654.00","Jv1399","Jv1004              ","E2                  ","                    ","0.00","386562.40","41102913.35","-41691129.75",""
