"periodno","lastdate_in_period"
"-559","1/31/1970 12:00:00 AM"
"-558","2/28/1970 12:00:00 AM"
"-557","3/31/1970 12:00:00 AM"
"-556","4/30/1970 12:00:00 AM"
"-555","5/31/1970 12:00:00 AM"
"-554","6/30/1970 12:00:00 AM"
"-553","7/31/1970 12:00:00 AM"
"-552","8/31/1970 12:00:00 AM"
"-551","9/30/1970 12:00:00 AM"
"-550","10/31/1970 12:00:00 AM"
"-549","11/30/1970 12:00:00 AM"
"-548","12/31/1970 12:00:00 AM"
"-547","1/31/1971 12:00:00 AM"
"-546","2/28/1971 12:00:00 AM"
"-545","3/31/1971 12:00:00 AM"
"-544","4/30/1971 12:00:00 AM"
"-543","5/31/1971 12:00:00 AM"
"-542","6/30/1971 12:00:00 AM"
"-541","7/31/1971 12:00:00 AM"
"-540","8/31/1971 12:00:00 AM"
"-539","9/30/1971 12:00:00 AM"
"-538","10/31/1971 12:00:00 AM"
"-537","11/30/1971 12:00:00 AM"
"-536","12/31/1971 12:00:00 AM"
"-535","1/31/1972 12:00:00 AM"
"-534","2/29/1972 12:00:00 AM"
"-533","3/31/1972 12:00:00 AM"
"-532","4/30/1972 12:00:00 AM"
"-531","5/31/1972 12:00:00 AM"
"-530","6/30/1972 12:00:00 AM"
"-529","7/31/1972 12:00:00 AM"
"-528","8/31/1972 12:00:00 AM"
"-527","9/30/1972 12:00:00 AM"
"-526","10/31/1972 12:00:00 AM"
"-525","11/30/1972 12:00:00 AM"
"-524","12/31/1972 12:00:00 AM"
"-523","1/31/1973 12:00:00 AM"
"-522","2/28/1973 12:00:00 AM"
"-521","3/31/1973 12:00:00 AM"
"-520","4/30/1973 12:00:00 AM"
"-519","5/31/1973 12:00:00 AM"
"-518","6/30/1973 12:00:00 AM"
"-517","7/31/1973 12:00:00 AM"
"-516","8/31/1973 12:00:00 AM"
"-515","9/30/1973 12:00:00 AM"
"-514","10/31/1973 12:00:00 AM"
"-513","11/30/1973 12:00:00 AM"
"-512","12/31/1973 12:00:00 AM"
"-511","1/31/1974 12:00:00 AM"
"-510","2/28/1974 12:00:00 AM"
"-509","3/31/1974 12:00:00 AM"
"-508","4/30/1974 12:00:00 AM"
"-507","5/31/1974 12:00:00 AM"
"-506","6/30/1974 12:00:00 AM"
"-505","7/31/1974 12:00:00 AM"
"-504","8/31/1974 12:00:00 AM"
"-503","9/30/1974 12:00:00 AM"
"-502","10/31/1974 12:00:00 AM"
"-501","11/30/1974 12:00:00 AM"
"-500","12/31/1974 12:00:00 AM"
"-499","1/31/1975 12:00:00 AM"
"-498","2/28/1975 12:00:00 AM"
"-497","3/31/1975 12:00:00 AM"
"-496","4/30/1975 12:00:00 AM"
"-495","5/31/1975 12:00:00 AM"
"-494","6/30/1975 12:00:00 AM"
"-493","7/31/1975 12:00:00 AM"
"-492","8/31/1975 12:00:00 AM"
"-491","9/30/1975 12:00:00 AM"
"-490","10/31/1975 12:00:00 AM"
"-489","11/30/1975 12:00:00 AM"
"-488","12/31/1975 12:00:00 AM"
"-487","1/31/1976 12:00:00 AM"
"-486","2/29/1976 12:00:00 AM"
"-485","3/31/1976 12:00:00 AM"
"-484","4/30/1976 12:00:00 AM"
"-483","5/31/1976 12:00:00 AM"
"-482","6/30/1976 12:00:00 AM"
"-481","7/31/1976 12:00:00 AM"
"-480","8/31/1976 12:00:00 AM"
"-479","9/30/1976 12:00:00 AM"
"-478","10/31/1976 12:00:00 AM"
"-477","11/30/1976 12:00:00 AM"
"-476","12/31/1976 12:00:00 AM"
"-475","1/31/1977 12:00:00 AM"
"-474","2/28/1977 12:00:00 AM"
"-473","3/31/1977 12:00:00 AM"
"-472","4/30/1977 12:00:00 AM"
"-471","5/31/1977 12:00:00 AM"
"-470","6/30/1977 12:00:00 AM"
"-469","7/31/1977 12:00:00 AM"
"-468","8/31/1977 12:00:00 AM"
"-467","9/30/1977 12:00:00 AM"
"-466","10/31/1977 12:00:00 AM"
"-465","11/30/1977 12:00:00 AM"
"-464","12/31/1977 12:00:00 AM"
"-463","1/31/1978 12:00:00 AM"
"-462","2/28/1978 12:00:00 AM"
"-461","3/31/1978 12:00:00 AM"
"-460","4/30/1978 12:00:00 AM"
"-459","5/31/1978 12:00:00 AM"
