"docno","date","itemcode","externalref","narrative","amount","printed","journal","currency"
"Rct29               ","10/28/2016 12:00:00 AM","Dr619               ","002557","Paid in KES","750000.00","True","Jv497","KES       "
"Rct21               ","10/22/2016 12:00:00 AM","Dr423               ","","Paid in KES","52200.00","True","Jv481","KES       "
"Rct23               ","10/3/2016 12:00:00 AM","Dr640               ","","Paid in KES","26100.00","True","Jv482","KES       "
"Rct30               ","10/28/2016 12:00:00 AM","Dr619               ","002558","Paid in KES","750000.00","True","Jv498","KES       "
"Rct33               ","10/17/2016 12:00:00 AM","Dr639               ","TRF","Paid in KES","1348000.00","","Jv638","KES       "
"Rct34               ","10/27/2016 12:00:00 AM","Dr469               ","TRF","Paid in KES","788800.00","","Jv639","KES       "
"Rct36               ","11/7/2016 12:00:00 AM","Dr476               ","chq001234","Paid in KES","400000.00","True","Jv668","KES       "
"Rct37               ","11/7/2016 12:00:00 AM","Dr476               ","001245","Paid in KES","475800.00","True","Jv669","KES       "
"Rct38               ","10/28/2016 12:00:00 AM","Dr485               ","cash","Paid in KES","47999.99","","Jv677","KES       "
"Rct39               ","10/6/2016 12:00:00 AM","Dr369               ","2534","Paid in KES","17400.00","","Jv678","KES       "
"Rct40               ","10/31/2016 12:00:00 AM","Dr371               ","inv72","Paid in KES","15199.99","","Jv679","KES       "
"Rct41               ","10/28/2016 12:00:00 AM","Dr506               ","inv70","Paid in KES","14999.98","","Jv680","KES       "
"Rct42               ","10/29/2016 12:00:00 AM","Dr643               ","In71","Paid in KES","38048.00","","Jv681","KES       "
"Rct44               ","11/10/2016 12:00:00 AM","Dr644               ","000089","Paid in KES","230579.81","True","Jv689","KES       "
"Rct45               ","10/11/2016 12:00:00 AM","Dr471               ","inv2515,22","Paid in KES","624930.65","True","Jv690","KES       "
"Rct46               ","11/10/2016 12:00:00 AM","Dr471               ","inv61","Paid in KES","467500.00","True","Jv691","KES       "
"Rct47               ","11/11/2016 12:00:00 AM","Dr595               ","c.d","Paid in KES","400000.00","True","Jv692","KES       "
"Rct50               ","10/26/2016 12:00:00 AM","Dr423               ","inv66","Paid in KES","17400.00","True","Jv849","KES       "
"Rct51               ","11/12/2016 12:00:00 AM","Dr423               ","inv84","Paid in KES","48720.00","True","Jv866","KES       "
"Rct52               ","11/29/2016 12:00:00 AM","Dr593               ","inv95","Paid in KES","52499.28","True","Jv914","KES       "
"Rct53               ","11/29/2016 12:00:00 AM","Dr594               ","inv2245","Paid in KES","300000.00","True","Jv915","KES       "
"Rct54               ","11/30/2016 12:00:00 AM","Dr474               ","","Paid in KES","278376.80","True","Jv939","KES       "
"Rct56               ","11/30/2016 12:00:00 AM","Dr642               ","inv59","Paid in KES","850048.00","True","Jv945","KES       "
"Rct57               ","11/30/2016 12:00:00 AM","Dr642               ","inv74","Paid in KES","476027.00","True","Jv946","KES       "
"Rct58               ","10/29/2016 12:00:00 AM","Dr642               ","inv74","Paid in KES","261668.00","True","Jv947","KES       "
"Rct59               ","11/23/2016 12:00:00 AM","Dr471               ","inv76","Paid in KES","425404.50","True","Jv969","KES       "
"Rct60               ","11/23/2016 12:00:00 AM","Dr471               ","","Paid in KES","700000.00","True","Jv970","KES       "
"Rct61               ","10/14/2016 12:00:00 AM","Dr649               ","chq 4940","Pain in :KES","1680000.00","True","Jv1010","KES       "
"Rct62               ","12/7/2016 12:00:00 AM","Dr476               ","","Paid in KES","300000.00","True","Jv1026","KES       "
"Rct63               ","12/2/2016 12:00:00 AM","Dr605               ","","Paid in KES","118000.00","True","Jv1097","KES       "
"Rct64               ","12/8/2016 12:00:00 AM","Dr648               ","chq 000707","Paid in KES","131290.00","True","Jv1098","KES       "
"Rct65               ","11/29/2016 12:00:00 AM","Dr369               ","in97","Paid in KES","44000.00","True","Jv1099","KES       "
"Rct66               ","12/6/2016 12:00:00 AM","Dr369               ","inv105","Paid in KES","44000.00","True","Jv1100","KES       "
"Rct67               ","12/2/2016 12:00:00 AM","Dr518               ","003295","Paid in KES","154000.00","True","Jv1142","KES       "
"Rct68               ","12/15/2016 12:00:00 AM","Dr643               ","inv117","Paid in KES","19024.00","True","Jv1169","KES       "
"Rct69               ","11/17/2016 12:00:00 AM","Dr643               ","INV88","Paid in KES","30160.00","True","Jv1170","KES       "
"Rct70               ","12/5/2016 12:00:00 AM","Dr643               ","INV103","Paid in KES","19024.00","True","Jv1171","KES       "
"Rct71               ","12/15/2016 12:00:00 AM","Dr643               ","INV110","Paid in KES","34104.00","True","Jv1172","KES       "
"Rct72               ","12/22/2016 12:00:00 AM","Dr591               ","inv132","Paid in KES","15080.00","True","Jv1350","KES       "
"Rct73               ","12/22/2016 12:00:00 AM","Dr655               ","inv129","Paid in KES","16000.00","True","Jv1355","KES       "
"Rct74               ","12/22/2016 12:00:00 AM","Dr654               ","inv128","Paid in KES","8000.00","True","Jv1356","KES       "
"Rct75               ","12/19/2016 12:00:00 AM","Dr652               ","inv122","Paid in KES","35685.00","True","Jv1357","KES       "
"Rct76               ","12/16/2016 12:00:00 AM","Dr369               ","inv118","Paid in KES","44000.00","True","Jv1358","KES       "
"Rct77               ","11/24/2016 12:00:00 AM","Dr645               ","inv91","Paid in KES","8000.00","","Jv1359","KES       "
"Rct82               ","1/6/2017 12:00:00 AM","Dr471               ","inv125,124,80","Paid in KES","611212.25","True","Jv1467","KES       "
"Rct84               ","1/5/2017 12:00:00 AM","Dr380               ","","Paid in KES","97262.00","True","Jv1516","KES       "
"Rct85               ","1/20/2017 12:00:00 AM","Dr618               ","chq no.1785","Pain in :KES","920000.00","True","Jv1522","KES       "
"Rct87               ","1/10/2017 12:00:00 AM","Dr474               ","chq no.447535","Paid in KES","727315.92","True","Jv1523","KES       "
"Rct88               ","1/16/2017 12:00:00 AM","Dr641               ","NV127","Paid in KES","754000.00","True","Jv1622","KES       "
"Rct89               ","1/16/2017 12:00:00 AM","Dr369               ","inv144,145","Paid in KES","40000.00","True","Jv1623","KES       "
"Rct90               ","10/3/2016 12:00:00 AM","Dr651               ","chg no.1016","Pain in :KES","205000.00","","Jv1627","KES       "
"Rct91               ","1/7/2017 12:00:00 AM","Dr20653             ","inv139","Paid in KES","7500.00","True","Jv1628","KES       "
"Rct93               ","1/3/2017 12:00:00 AM","Dr10653             ","inv134","Paid in KES","28000.00","","Jv1629","KES       "
"Rct94               ","12/19/2016 12:00:00 AM","Dr464               ","rtgs","Paid in KES","1564276.00","True","Jv1630","KES       "
"Rct95               ","12/21/2016 12:00:00 AM","Dr619               ","chq no. 3156","Paid in KES","500000.00","True","Jv1631","KES       "
