"script","pagesecurity","description"
"ActivityManagementReport.php","11","CRM Management Activity"
"ApproveCEOVoucher.php","6","CEO approval"
"Approvedstock.php","8","Stock Issues"
"ApprovePriceList.php","12","This is for the manager"
"ApprovePurchase.php","2","Approve Purchase Order"
"ApproveStcokissues.php","3","Approve Stock Issues"
"ApproveVoucher.php","6","Approve Payment Voucher"
"AuditTrail.php","0","index.php"
"backupdatabase.php","0","system(used by all)"
"BankReconciliation.php","7","Reconciliation"
"Billofmaterial.php","15","Production"
"BOMcomparison.php","15","BOM Report (For Constuction)"
"Budgets.php","14","Budgets"
"CashFlowReport.php","8","CashFlow Report"
"cashJournal.php","6","Cash Journal"
"ChartofAccounts.php","14","Chart of Accounts"
"CompanyPreferences.php","14"," "
"ConfirmServiceInvoice.php","1","Confirm Service Invoice"
"consumptionstock.php","3","Request Stock"
"CreateBankAccount.php","6","Create bank accounts"
"CreateQtyDiscount.php","12","Create Discounts"
"CreditNote.php","8","Credit Note"
"crmclientsActivity.php","0","CRM New Task"
"crmclientsTasks.php","0","CRM"
"Currencies.php","6","Update Currencies"
"Customer.php","1","Create Customer"
"customerReminders.php","0","Customer relations"
"CustomersPostingGroups.php","8"," "
"debtsFollowups.php","11","Customer Relations"
"DecanterFromStock.php","3","Bitumen Decanter"
"DefaultPriceList.php","3","This is for the manager"
"Dimensionlist.php","14","PROJECT"
"DimensionTypes.php","14","Dimension Setup"
"Employee.php","11","Modify Employee"
"EnterBills.php","8","Supplier enter bills"
"EnterSalesBills.php","0","Sales Enter Bills"
"ExchangeRateTrend.php","0"," "
"FassetsReceivedNote.php","8","FA GRN"
"fellowgroups.php","15","Create new fellowships"
"FinancialPeriods.php","14","Fiancial Periods"
"FixedAssetCategories.php","8","Fixed Assets Category"
"FixedAssetDepreciation.php","8","Fixed assets depreciation"
"FixedAssetItems.php","8","Fixed assets Items"
"FixedAssetLocations.php","8","Fixed Assets locations"
"FixedAssetRegister.php","8","Fixed assets register"
"FixedAssetsBackTostore.php","8","Hire/Equipment returned"
"FixedAssetsHire.php","8","Hire/Equipment issue"
"FixedAssetsHireReturned.php","8","Hire/Equipment Returned"
"FixedAssetsReceived.php","8","Receive Assets"
"FixedAssetTransfer.php","8","Fixed assets transfer"
"Generalledgerist.php","8","General Ledger view"
"geocode.php","0"," "
"GeocodeSetup.php","0"," "
"GLPostingGroups.php","8","GL posting groups"
"GoodsReceivedNote.php","2","Print GRN"
"Goodsrecievedfromorders.php","2","Goods Received Note"
"Goodsreturnedtovendors.php","2","Debit Notes"
"HireAssets.php","8","Hire of fixed assets"
"HireOutAssetsList.php","8","Hire/Equipment Status"
"homepage.php","0","System Homepage"
"index.php","0","system(used by all)"
"InventoryExhange.php","15","Inventory Exhange"
"InventoryPostingGroups.php","15","Inventory Posting Group"
"Journal.php","8","Post Journal"
"labarotoryStandards.php","3","This is for the manager"
"LaboratoryDataEntry.php","3","LAB Data Entry"
"LaboratoryFinalReview.php","3","Review"
"Labourentry.php","8","Labour Work Sheet"
"LabourRates.php","8","Labour Rates"
"LedgerReports.php","8","Ledger Reports"
"Logout.php","0","system(used by all)"
"MailingGroupMaintenance.php","15"," "
"maintenaceFollowups.php","11","Activity Coming up"
"MaintenanceReminders.php","11","Maintenace Reminders"
"MaintenanceTasks.php","11","Fixed assets maintenace task"
"MaintenanceUserSchedule.php","0","Fixed assets Maintenace users"
"Member.php","0","Fellowship"
"mergestock.php","11","Modify"
"MRPreport.php","15","MRP"
"MultipleSalescreditnote.php","3","Cash book Register"
"MultipleSalesselectList.php","3","Cash book Register"
"PageSecurity.php","15"," "
"PaymentsAllocation.php","4","Payments Allocation"
"PaymentVoucher.php","6","Payment Vouchers Preparation"
"PDFbalanceSheet.php","8","Balance Sheet"
"PDFbankreconciliation.php","7","Print Bank statements"
"PDFBQissues.php","15","Stock Report (For Constuction)"
"PDFbudgets.php","8","Print Budgets"
"PDFCEOpaymentvoucher.php","6","CEO approval PV"
"PDFcheque.php","6","Print Cheque"
"PDFenterbills.php","0","Print Enter Bills"
"PDFFAMpaymentvoucher.php","6","Approval for FAM"
"PDFFinacials.php","8","Print Financial Reports"
"PDFfundsflow.php","8","Funds Flow statement"
"PDFimprestReport.php","6","Print Pettey Cash Report"
"PDFLaboratorytest.php","3","LAB Test Report"
"PDFlistSalesOrderbyDays.php","0","Loading Report"
"PDFpaymentvoucher.php","6","Print Payment Voucher"
"PDFPricelist.php","1","PRICE LIST"
"PDFPrintAssetgrn.php","8","PDF FA GRN"
"PDFPrintAssetshire.php","8","Hire/Equipment Invoice"
"PDFPrintAssetsOrder.php","8","PDF FA lpo"
"PDFPrintCommercialInvoice.php","0","This is for the Sales Reps"
"PDFPrintcreditnote.php","8","Print Credit Note"
"PDFPrintDailyProfitSales.php","8","PDF POINT OF SALE"
"PDFPrintDailySales.php","8","PDF POINT OF SALE"
"PDFPrintdebitnote.php","8","Debit Note Report"
