"date","stname","doctyp","batch","itemcode","invref","netamt","vat","amount","fulqty","loosqty","price","curr_rat","stockvalue","store","journal","curr_cod","period","del","factory","jobcard","len","wid","sman","pkey","BQitemcode","dimension","PartPerUnit"
"10/18/2016 11:51:00 AM","Stock Adjust                                      ","17","","S.6                 ","13                  ","","","","0.0000","22500.0000","11.65","","","1         ","Jv380               ","","2","","","","","","","1","","","200"
"10/18/2016 11:52:00 AM","Stock Adjust                                      ","17","","S.7                 ","14                  ","","","","0.0000","1500.0000","15.15","","","1         ","Jv381               ","","2","","","","","","","2","","","200"
"10/18/2016 11:52:00 AM","Stock Adjust                                      ","17","","S.150               ","15                  ","","","","1.5000","0.0000","12.45","","","1         ","Jv382               ","","2","","","","","","","3","","","200"
"10/19/2016 10:26:00 AM","Stock Adjust                                      ","17","","S.6                 ","19                  ","","","","0.0000","3000.0000","11.65","","","1         ","Jv383               ","","2","","","","","","","4","","","200"
"10/19/2016 10:28:00 AM","Stock Adjust                                      ","17","","S.7                 ","21                  ","","","","0.0000","8200.0000","15.15","","","1         ","Jv384               ","","2","","","","","","","5","","","200"
"10/19/2016 10:40:00 AM","Stock Adjust                                      ","17","","S.150               ","23                  ","","","","300.0000","0.0000","12.45","","","1         ","Jv385               ","","2","","","","","","","6","","","200"
"10/19/2016 10:41:00 AM","Stock Adjust                                      ","17","","S.9                 ","25                  ","","","","0.0000","6400.0000","28.60","","","1         ","Jv386               ","","2","","","","","","","7","","","200"
"10/21/2016 12:00:00 AM","K1-70  Emulsion (70% bidder c                     ","19","","S.7                 ","SO108               ","371200.00","51200.00","371200.0000","-20.0000","0.0000","80.00","","","1         ","Jv405               ","","2","","","PL69      ","","","","30","","","200"
"10/21/2016 12:00:00 AM","MC-30 CutBack                                     ","19","","S.9                 ","SO108               ","121800.00","16800.00","121800.0000","-5.0000","0.0000","105.00","","","1         ","Jv405               ","","2","","","PL69      ","","","","31","","","200"
"10/22/2016 12:00:00 AM","K1-60 Emulsion (60% bidder co                     ","19","","S.6                 ","SO109               ","52200.00","7200.00","52200.0000","-3.0000","0.0000","75.00","","","1         ","Jv406               ","","2","","","PL70      ","","","","32","","","200"
"10/22/2016 12:00:00 AM","K1-60 Emulsion (60% bidder co                     ","19","","S.6                 ","SO110               ","850048.00","117248.00","850048.0000","-50.0000","0.0000","73.28","","","1         ","Jv428               ","","2","","","PL71      ","","","","33","","","200"
"10/21/2016 12:00:00 AM","K1-60 Emulsion (60% bidder co                     ","19","","S.6                 ","SO107               ","752840.00","103840.00","752840.0000","-50.0000","0.0000","64.90","","","1         ","Jv438               ","","2","","","PL72      ","","","","34","","","200"
"10/15/2016 12:00:00 AM","K1-60 Emulsion (60% bidder co                     ","19","","S.6                 ","SO113               ","243600.00","33600.00","243600.0000","-15.0000","0.0000","70.00","","","1         ","Jv442               ","","2","","","PL73      ","","","","35","","","200"
"10/24/2016 12:00:00 AM","K1-60 Emulsion (60% bidder co                     ","19","","S.6                 ","SO115               ","771400.00","106400.00","771400.0000","-50.0000","0.0000","66.50","","","1         ","Jv478               ","","2","","","PL75      ","","","","37","","","200"
"10/26/2016 2:08:00 PM","Stock Adjust                                      ","17","","S.6                 ","52                  ","","","","0.0000","19200.0000","11.65","","","1         ","Jv485               ","","2","","","","","","","38","","","200"
"10/26/2016 12:00:00 AM","K1-60 Emulsion (60% bidder co                     ","19","","S.6                 ","SO118               ","17400.00","2400.00","17400.0000","-1.0000","0.0000","75.00","","","1         ","Jv486               ","","2","","","PL76      ","","","","39","","","200"
"10/26/2016 12:00:00 AM","K1-60 Emulsion (60% bidder co                     ","19","","S.6                 ","SO121               ","771400.00","106400.00","771400.0000","-50.0000","0.0000","66.50","","","1         ","Jv489               ","","2","","","PL77      ","","","","40","","","200"
"10/26/2016 4:34:00 PM","Stock Adjust                                      ","17","","S.6                 ","55                  ","","","","0.0000","900.0000","11.65","","","1         ","Jv492               ","","2","","","","","","","41","","","200"
"10/26/2016 12:00:00 AM","K1-60 Emulsion (60% bidder co                     ","19","","S.6                 ","SO123               ","788800.00","108800.00","788800.0000","-50.0000","0.0000","68.00","","","1         ","Jv494               ","","2","","","PL78      ","","","","43","","","200"
"10/28/2016 12:00:00 AM","HCL                                               ","30","","S.17                ","LPO30               ","39440.00","5440.00","39440.0000","1000.0000","0.0000","34.00","","","1         ","Jv502               ","","2","","","GRN32     ","","","","44","","","1000"
