"isstock","barcode","itemcode","descrip","postinggroup","averagestock","partperunit","reorderlevel","eoq","sellingprice","category","units","subunits","container","nextserialno","inactive","pkey","isstock_1","isstock_2","isstock_3","isstock_4","isstock_5","isstock_6","production"
"1","K160                ","S.6                 ","K1-60 Emulsion (60% bidder content)                                                                 ","default             ","96.00","200.00","0","0","0.00","CE    ","u 7       ","u 7       ","S.15                ","0","False","6","True","True","False","False","False","False",""
"1","K170                ","S.7                 ","K1-70  Emulsion (70% bidder content)                                                                ","default             ","46.39","200.00","0","0","0.00","CE    ","u 7       ","u 7       ","S.15                ","0","False","7","True","False","False","False","False","False",""
"1","BITUMENBULK         ","S.8                 ","Bitumen 80-100 bulk                                                                                 ","default             ","96.00","1.00","0","0","0.00","SRB   ","u 8       ","u 8       ","0                   ","0","False","8","False","True","False","True","False","True","03"
"0","MC30                ","S.9                 ","MC-30 CutBack                                                                                       ","default             ","105.00","200.00","0","0","0.00","Cb    ","u 7       ","u 7       ","S.122               ","0","False","9","True","True","False","True","True","True",""
"1","MC0070              ","S.10                ","MC-70 Cutback                                                                                       ","default             ","110.00","200.00","0","0","0.00","Cb    ","u 7       ","u 7       ","0                   ","0","False","10","True","True","False","False","False","False",""
"1","S.60220             ","S.60233             ","Bitumastic                                                                                          ","default             ","","","0","0","0.00","Bpp   ","u 7       ","","0                   ","1","False","60233","True","False","False","True","False","False",""
"0","M.S 100ml           ","S.60248             ","Methylated Spirit                                                                                   ","default             ","0.00","","0","0","0.00","0","0         ","","0                   ","1","False","60248","False","True","False","False","False","False",""
"1","KER0001             ","S.13                ","Kerosene                                                                                            ","kero                ","144.00","1.00","1","0","0.00","0","u 7       ","u 7       ","0                   ","0","False","13","True","True","False","True","True","False","04"
"1","MC3000              ","S.14                ","MC-3000 Cutback                                                                                     ","default             ","","200.00","0","0","106.00","Cb    ","u 7       ","u 7       ","0                   ","0","False","14","True","","","","","",""
"1","DRUM                ","S.15                ","Drum Empties                                                                                        ","novat               ","1400.00","1.00","0","0","0.00","0","u 6       ","0         ","0                   ","0","False","15","False","True","False","False","False","True",""
"1","D80100              ","S.16                ","Drumed Bitumen 80/100                                                                               ","default             ","101.00","1.00","0","0","0.00","0","u 7       ","          ","S.122               ","0","False","16","True","True","False","True","True","False",""
"1","                    ","S.17                ","HCL                                                                                                 ","default             ","75.40","1000.00","0","0","0.00","0","u 8       ","u13       ","0                   ","0","False","17","False","True","False","True","True","False","01"
"1","                    ","S.18                ","CALZ                                                                                                ","default             ","139.20","1000.00","0","0","0.00","0","u 8       ","u 8       ","0                   ","0","False","18","False","True","False","True","False","False",""
"0","H.P 200ml           ","S.60249             ","Hydrogen Peroxide                                                                                   ","default             ","0.00","","0","0","0.00","0","0         ","","0                   ","1","False","60249","False","True","False","False","False","False",""
"0","F.P 100 Strips      ","S.60250             ","First Aid Fabric Plaster                                                                            ","default             ","0.00","","0","0","0.00","0","0         ","","0                   ","1","False","60250","False","True","False","False","False","False",""
"0","L.P.E.G 100 Pieces  ","S.60251             ","Latex Powdered Examination Gloves                                                                   ","default             ","0.00","","0","0","0.00","0","0         ","","0                   ","1","False","60251","False","True","False","False","False","False",""
"0","P.A  500mg          ","S.60252             ","Panadol Advance                                                                                     ","default             ","0.00","","0","0","0.00","0","0         ","","0                   ","1","False","60252","False","True","False","False","False","False",""
"1","ADDIBITF4           ","S.151               ","ADDIBIT F4HBSZ10                                                                                    ","default             ","","1000.00","25","0","","      ","u 8       ","u13       ","0                   ","1","False","151","","True","","","","",""
"1","BITUMENBULK         ","S.24                ","Bitumen 60-70 bulk                                                                                  ","default             ","100.00","1.00","0","0","0.00","SRB   ","u 8       ","u 8       ","S.24                ","0","False","24","True","True","False","True","False","True","03"
