"tankname","units","uom","date","batchno","variance","doctype","itemcode","index","BQitemcode"
"Tank E 30/1                   ","10000","loosqty   ","10/31/2016 12:00:00 AM","WKI28     ","","28","S.6       ","1",""
"K10/1                         ","1100","loosqty   ","11/7/2016 12:00:00 AM","WRK53     ","0","26","S.13","2",""
"K10/1                         ","4000","loosqty   ","11/15/2016 12:00:00 AM","WRK54     ","0","26","S.13","3",""
"Tank E 30/1                   ","-50","fulqty    ","11/1/2016 12:00:00 AM","REQ50     ","0","40","S.6       ","4",""
"Tank CB                       ","12300","          ","11/17/2016 12:00:00 AM","WKI35     ","","28","S.9       ","5",""
"Tank 30/1                     ","-8500","          ","11/17/2016 12:00:00 AM","WKI35     ","","28","S.8       ","6",""
"Tank E 30/1                   ","12500","loosqty   ","11/4/2016 12:00:00 AM","WKI32     ","","28","S.6       ","7",""
"Tank 30/1                     ","-4500","          ","11/17/2016 12:00:00 AM","WKI35     ","","28","S.8       ","8",""
"Tank 30/1                     ","-3400","loosqty   ","12/1/2016 12:00:00 AM","REQ59     ","0","40","S.8       ","9",""
"Tank E 30/1                   ","-12500","loosqty   ","11/4/2016 12:00:00 AM","REQ54     ","0","40","S.6       ","10",""
"Tank E 30/1                   ","1","loosqty   ","11/7/2016 12:00:00 AM","WRK49     ","0","26","S.6       ","11",""
"Tank 30/1                     ","16400","loosqty   ","11/7/2016 12:00:00 AM","WRK50     ","0","26","S.8       ","12",""
"Tank 30/1                     ","3400","loosqty   ","12/1/2016 12:00:00 AM","WRK55     ","0","26","S.8       ","13",""
"Converion                     ","2196","loosqty   ","12/1/2016 12:00:00 AM","WKI36     ","","28","S.16","14",""
"Tank 30/1                     ","-2196","loosqty   ","12/1/2016 12:00:00 AM","WKI36     ","","28","S.8       ","15",""
"Converion                     ","-10","fulqty    ","12/1/2016 12:00:00 AM","REQ63     ","0","40","S.16","16",""
"Converion                     ","-2","fulqty    ","12/1/2016 12:00:00 AM","REQ64     ","0","40","S.16","17",""
"Tank E 30/1                   ","10500","          ","12/6/2016 12:00:00 AM","WKI37     ","","28","S.6       ","18",""
"Tank E 30/1                   ","0","          ","12/6/2016 12:00:00 AM","WKI37     ","","28","S.6       ","19",""
"Tank E 30/1                   ","-10500","loosqty   ","12/6/2016 12:00:00 AM","REQ69     ","0","40","S.6       ","20",""
