"code","descrip","sns","pkey"
"u 6       ","Units                                             ","1         ","6"
"u 7       ","litres                                            ","1         ","7"
"u 8       ","kgs                                               ","1         ","8"
"u 9       ","bucket                                            ","1         ","9"
"u 10      ","Drums                                             ","1         ","10"
"u11       ","Service                                           ","1         ","11"
"u12       ","CARTON                                            ","","12"
"u13       ","grams                                             ","","13"
"u14       ","Roll                                              ","","14"
"u17       ","pcs                                               ","","17"
"u20       ","Tins                                              ","","20"
"u19       ","Tonnes                                            ","","19"
