"SchemaName","TableName","Rows","CsvPath"
"dbo","Accountsetup","1",".\migration\export\csv\dbo.Accountsetup.csv"
"dbo","acct","139",".\migration\export\csv\dbo.acct.csv"
"dbo","arpostinggroups","7",".\migration\export\csv\dbo.arpostinggroups.csv"
"dbo","AssetsHeader","24",".\migration\export\csv\dbo.AssetsHeader.csv"
"dbo","audittrail","13317",".\migration\export\csv\dbo.audittrail.csv"
"dbo","BankAccounts","14",".\migration\export\csv\dbo.BankAccounts.csv"
"dbo","BankReconciliation","12",".\migration\export\csv\dbo.BankReconciliation.csv"
"dbo","BankTransactions","35769",".\migration\export\csv\dbo.BankTransactions.csv"
"dbo","billofmaterial","19",".\migration\export\csv\dbo.billofmaterial.csv"
"dbo","BOM_items","65",".\migration\export\csv\dbo.BOM_items.csv"
"dbo","Budgets","55",".\migration\export\csv\dbo.Budgets.csv"
"dbo","buffertable","0",".\migration\export\csv\dbo.buffertable.csv"
"dbo","Commision","5",".\migration\export\csv\dbo.Commision.csv"
"dbo","companies","1",".\migration\export\csv\dbo.companies.csv"
"dbo","config","24",".\migration\export\csv\dbo.config.csv"
"dbo","Containers","8",".\migration\export\csv\dbo.Containers.csv"
"dbo","creditors","388",".\migration\export\csv\dbo.creditors.csv"
"dbo","creditorsledger","13192",".\migration\export\csv\dbo.creditorsledger.csv"
"dbo","currencies","4",".\migration\export\csv\dbo.currencies.csv"
"dbo","CustomerStatement","10020",".\migration\export\csv\dbo.CustomerStatement.csv"
"dbo","CustomerVisits","0",".\migration\export\csv\dbo.CustomerVisits.csv"
"dbo","debtors","727",".\migration\export\csv\dbo.debtors.csv"
"dbo","debtorsledger","10756",".\migration\export\csv\dbo.debtorsledger.csv"
"dbo","Dimensions","58",".\migration\export\csv\dbo.Dimensions.csv"
"dbo","DimensionSetUp","2",".\migration\export\csv\dbo.DimensionSetUp.csv"
"dbo","Discouts","2",".\migration\export\csv\dbo.Discouts.csv"
"dbo","emailsettings","1",".\migration\export\csv\dbo.emailsettings.csv"
"dbo","EmployeeProductionRates","0",".\migration\export\csv\dbo.EmployeeProductionRates.csv"
